IMD_Frequency_MHz,Formula,Type
475,2*500 - 525,2f1 - f2
550,2*525 - 500,2f2 - f1
600,2*550 - 500,2f2 - f1
500,2*525 - 550,2f1 - f2
575,2*550 - 525,2f2 - f1
475,2*525 - 575,2f1 - f2
675,2*600 - 525,2f2 - f1
525,2*550 - 575,2f1 - f2
600,2*575 - 550,2f2 - f1
500,2*550 - 600,2f1 - f2
475,2*550 - 625,2f1 - f2
550,2*575 - 600,2f1 - f2
525,2*575 - 625,2f1 - f2
675,2*625 - 575,2f2 - f1
500,2*575 - 650,2f1 - f2
475,2*575 - 675,2f1 - f2
575,2*600 - 625,2f1 - f2
550,2*600 - 650,2f1 - f2
525,2*600 - 675,2f1 - f2
500,2*600 - 700,2f1 - f2
475,2*600 - 725,2f1 - f2
600,2*625 - 650,2f1 - f2
675,2*650 - 625,2f2 - f1
575,2*625 - 675,2f1 - f2
550,2*625 - 700,2f1 - f2
525,2*625 - 725,2f1 - f2
500,2*625 - 750,2f1 - f2
475,2*625 - 775,2f1 - f2
600,2*650 - 700,2f1 - f2
575,2*650 - 725,2f1 - f2
550,2*650 - 750,2f1 - f2
525,2*650 - 775,2f1 - f2
500,2*650 - 800,2f1 - f2
475,2*650 - 825,2f1 - f2
600,2*675 - 750,2f1 - f2
575,2*675 - 775,2f1 - f2
550,2*675 - 800,2f1 - f2
525,2*675 - 825,2f1 - f2
500,2*675 - 850,2f1 - f2
475,2*675 - 875,2f1 - f2
675,2*700 - 725,2f1 - f2
600,2*700 - 800,2f1 - f2
575,2*700 - 825,2f1 - f2
550,2*700 - 850,2f1 - f2
525,2*700 - 875,2f1 - f2
500,2*700 - 900,2f1 - f2
475,2*700 - 925,2f1 - f2
675,2*725 - 775,2f1 - f2
600,2*725 - 850,2f1 - f2
575,2*725 - 875,2f1 - f2
550,2*725 - 900,2f1 - f2
525,2*725 - 925,2f1 - f2
500,2*725 - 950,2f1 - f2
475,2*725 - 975,2f1 - f2
675,2*750 - 825,2f1 - f2
600,2*750 - 900,2f1 - f2
575,2*750 - 925,2f1 - f2
550,2*750 - 950,2f1 - f2
525,2*750 - 975,2f1 - f2
500,2*750 - 1000,2f1 - f2
475,2*750 - 1025,2f1 - f2
675,2*775 - 875,2f1 - f2
600,2*775 - 950,2f1 - f2
575,2*775 - 975,2f1 - f2
550,2*775 - 1000,2f1 - f2
525,2*775 - 1025,2f1 - f2
500,2*775 - 1050,2f1 - f2
475,2*775 - 1075,2f1 - f2
675,2*800 - 925,2f1 - f2
600,2*800 - 1000,2f1 - f2
575,2*800 - 1025,2f1 - f2
550,2*800 - 1050,2f1 - f2
525,2*800 - 1075,2f1 - f2
500,2*800 - 1100,2f1 - f2
475,2*800 - 1125,2f1 - f2
675,2*825 - 975,2f1 - f2
600,2*825 - 1050,2f1 - f2
575,2*825 - 1075,2f1 - f2
550,2*825 - 1100,2f1 - f2
525,2*825 - 1125,2f1 - f2
500,2*825 - 1150,2f1 - f2
475,2*825 - 1175,2f1 - f2
675,2*850 - 1025,2f1 - f2
600,2*850 - 1100,2f1 - f2
575,2*850 - 1125,2f1 - f2
550,2*850 - 1150,2f1 - f2
525,2*850 - 1175,2f1 - f2
500,2*850 - 1200,2f1 - f2
475,2*850 - 1225,2f1 - f2
675,2*875 - 1075,2f1 - f2
600,2*875 - 1150,2f1 - f2
575,2*875 - 1175,2f1 - f2
550,2*875 - 1200,2f1 - f2
525,2*875 - 1225,2f1 - f2
500,2*875 - 1250,2f1 - f2
475,2*875 - 1275,2f1 - f2
675,2*900 - 1125,2f1 - f2
600,2*900 - 1200,2f1 - f2
575,2*900 - 1225,2f1 - f2
550,2*900 - 1250,2f1 - f2
525,2*900 - 1275,2f1 - f2
500,2*900 - 1300,2f1 - f2
475,2*900 - 1325,2f1 - f2
675,2*925 - 1175,2f1 - f2
600,2*925 - 1250,2f1 - f2
575,2*925 - 1275,2f1 - f2
550,2*925 - 1300,2f1 - f2
525,2*925 - 1325,2f1 - f2
500,2*925 - 1350,2f1 - f2
475,2*925 - 1375,2f1 - f2
675,2*950 - 1225,2f1 - f2
