Frequency (Hz),Level (dBm)
50.00,-84.60
50.10,-84.30
50.20,-82.93
50.30,-84.15
50.40,-85.23
50.50,-82.92
50.60,-81.19
50.70,-78.51
50.80,-83.06
50.90,-85.21
51.00,-84.95
51.10,-84.12
51.20,-83.24
51.30,-83.35
51.40,-85.46
51.50,-86.55
51.60,-84.53
51.70,-85.22
51.80,-83.58
51.90,-84.66
52.00,-84.97
52.10,-82.27
52.20,-81.35
52.30,-83.28
52.40,-85.78
52.50,-82.65
52.60,-81.50
52.70,-81.38
52.80,-81.57
52.90,-82.06
53.00,-83.72
53.10,-83.89
53.20,-82.20
53.30,-82.97
53.40,-84.36
53.50,-84.72
53.60,-85.37
53.70,-77.82
53.80,-78.93
53.90,-83.54
54.00,-83.71
54.10,-83.65
54.20,-85.66
54.30,-84.80
54.40,-84.29
54.50,-85.62
54.60,-85.58
54.70,-84.18
54.80,-84.20
54.90,-86.85
55.00,-86.77
55.10,-87.26
55.20,-84.30
55.30,-81.24
55.40,-84.79
55.50,-86.13
55.60,-86.45
55.70,-88.58
55.80,-87.40
55.90,-86.81
56.00,-87.41
56.10,-85.84
56.20,-84.60
56.30,-86.57
56.40,-86.00
56.50,-83.84
56.60,-88.28
56.70,-86.06
56.80,-77.89
56.90,-80.12
57.00,-85.84
57.10,-86.36
57.20,-87.31
57.30,-85.58
57.40,-83.88
57.50,-85.60
57.60,-85.96
57.70,-86.42
57.80,-87.55
57.90,-84.99
58.00,-84.70
58.10,-85.38
58.20,-84.03
58.30,-80.64
58.40,-80.32
58.50,-83.01
58.60,-85.86
58.70,-86.40
58.80,-85.16
58.90,-85.09
59.00,-84.72
59.10,-83.31
59.20,-83.18
59.30,-83.19
59.40,-84.19
59.50,-84.66
59.60,-84.05
59.70,-84.83
59.80,-80.34
59.90,-78.63
60.00,-81.89
60.10,-84.08
60.20,-84.33
60.30,-84.46
60.40,-83.60
60.50,-84.27
60.60,-82.57
60.70,-84.85
60.80,-85.43
60.90,-84.72
