Frequency (MHz),Level (dBm)
54.0,-97.1
54.025,-96.4
54.05,-97.1
54.075,-96.7
54.1,-98.1
54.125,-98.8
54.15,-99.2
54.175,-97.9
54.2,-98.1
54.225,-97.8
54.25,-98.1
54.275,-97.3
54.3,-98.1
54.325,-98.3
54.35,-94.9
54.375,-98.4
54.4,-97.9
54.425,-97.4
54.45,-98.8
54.475,-97.7
54.5,-98.5
54.525,-98.7
54.55,-98.0
54.575,-98.4
54.6,-99.8
54.625,-99.0
54.65,-99.4
54.675,-98.8
54.7,-96.6
54.725,-98.0
54.75,-98.2
54.775,-97.6
54.8,-99.2
54.825,-98.8
54.85,-98.8
54.875,-98.9
54.9,-97.5
54.925,-98.9
54.95,-98.9
54.975,-97.5
55.0,-99.7
55.025,-99.8
55.05,-98.5
55.075,-98.3
55.1,-98.9
55.125,-99.8
55.15,-99.1
55.175,-97.8
55.2,-99.6
55.225,-98.8
55.25,-99.2
55.275,-99.1
55.3,-99.6
55.325,-98.6
55.35,-99.0
55.375,-96.3
55.4,-98.8
55.425,-98.7
55.45,-98.4
55.475,-99.2
55.5,-98.9
55.525,-99.1
55.55,-98.9
55.575,-97.6
55.6,-98.9
55.625,-99.6
55.65,-100.5
55.675,-97.8
55.7,-98.6
55.725,-98.6
55.75,-99.7
55.775,-99.3
55.8,-98.1
55.825,-99.4
55.85,-99.4
55.875,-98.6
55.9,-98.8
55.925,-99.7
55.95,-99.5
55.975,-99.9
56.0,-98.7
56.025,-98.6
56.05,-98.7
56.075,-98.5
56.1,-99.4
56.125,-96.5
56.15,-100.1
56.175,-99.7
56.2,-98.9
56.225,-98.5
56.25,-100.4
56.275,-99.8
56.3,-99.8
56.325,-98.9
56.35,-100.5
56.375,-99.7
56.4,-99.3
56.425,-99.6
56.45,-98.5
56.475,-99.5
56.5,-99.3
56.525,-99.0
56.55,-98.4
56.575,-100.3
56.6,-98.9
56.625,-99.0
56.65,-100.6
56.675,-98.9
56.7,-98.0
56.725,-99.6
56.75,-98.8
56.775,-99.6
56.8,-99.1
56.825,-98.9
56.85,-100.4
56.875,-98.5
56.9,-99.2
56.925,-99.1
56.95,-99.4
56.975,-99.4
57.0,-98.8
57.025,-101.0
57.05,-100.2
57.075,-99.1
57.1,-99.5
57.125,-98.4
57.15,-100.2
57.175,-98.4
57.2,-99.8
57.225,-99.1
57.25,-99.6
57.275,-99.1
57.3,-99.8
57.325,-99.3
57.35,-98.0
57.375,-99.2
57.4,-99.6
57.425,-98.2
57.45,-99.3
57.475,-100.1
57.5,-99.2
57.525,-100.4
57.55,-99.4
57.575,-98.1
57.6,-99.6
57.625,-98.3
57.65,-99.5
57.675,-100.8
57.7,-98.8
57.725,-98.8
57.75,-99.4
57.775,-100.5
57.8,-98.7
57.825,-98.9
57.85,-99.5
57.875,-100.5
57.9,-99.7
57.925,-98.8
57.95,-98.9
57.975,-99.3
58.0,-98.8
58.025,-100.5
58.05,-99.3
58.075,-99.2
58.1,-99.4
58.125,-97.1
58.15,-98.2
58.175,-99.4
58.2,-98.4
58.225,-97.0
58.25,-97.4
58.275,-98.5
58.3,-98.4
58.325,-99.3
58.35,-98.4
58.375,-99.8
58.4,-98.2
58.425,-98.3
58.45,-97.5
58.475,-97.6
58.5,-97.9
58.525,-100.1
58.55,-98.3
58.575,-100.2
58.6,-99.4
58.625,-99.7
58.65,-98.2
58.675,-99.7
58.7,-98.0
58.725,-99.2
58.75,-99.9
58.775,-98.3
58.8,-99.8
58.825,-98.9
58.85,-98.4
58.875,-97.9
58.9,-99.0
58.925,-99.8
58.95,-99.9
58.975,-99.4
59.0,-97.8
59.025,-100.0
59.05,-99.2
59.075,-99.9
59.1,-100.2
59.125,-98.9
59.15,-98.6
59.175,-99.1
59.2,-99.8
59.225,-97.8
59.25,-100.1
59.275,-98.2
59.3,-98.4
59.325,-99.7
59.35,-98.6
59.375,-99.3
59.4,-98.8
59.425,-99.0
59.45,-98.9
59.475,-98.6
59.5,-96.6
59.525,-97.6
59.55,-99.5
59.575,-97.4
59.6,-97.1
59.625,-98.7
59.65,-97.1
59.675,-98.2
59.7,-97.2
59.725,-96.8
59.75,-96.6
59.775,-96.0
59.8,-96.0
59.825,-95.0
59.85,-96.5
59.875,-95.9
59.9,-95.7
59.925,-97.2
59.95,-95.4
59.975,-96.9
60.0,-95.2
60.025,-95.1
60.05,-94.3
60.075,-94.1
60.1,-93.5
60.125,-95.5
60.15,-95.6
60.175,-96.6
60.2,-94.3
60.225,-95.4
60.25,-95.3
60.275,-95.3
60.3,-95.5
60.325,-92.9
60.35,-96.0
60.375,-97.0
60.4,-97.2
60.425,-97.4
60.45,-96.5
60.475,-97.4
60.5,-93.7
60.525,-98.4
60.55,-96.5
60.575,-97.3
60.6,-96.2
60.625,-97.1
60.65,-96.2
60.675,-97.1
60.7,-95.1
60.725,-96.2
60.75,-95.6
60.775,-94.6
60.8,-95.5
60.825,-95.1
60.85,-93.3
60.875,-93.7
60.9,-92.3
60.925,-94.3
60.95,-94.3
60.975,-93.6
61.0,-92.6
61.025,-94.3
61.05,-93.3
61.075,-92.6
61.1,-93.1
61.125,-92.4
61.15,-91.6
61.175,-93.4
61.2,-93.4
61.225,-92.6
61.25,-90.6
61.275,-92.3
61.3,-92.5
61.325,-93.0
61.35,-91.7
61.375,-92.5
61.4,-92.6
61.425,-92.0
61.45,-90.9
61.475,-91.7
61.5,-91.5
61.525,-91.7
61.55,-92.8
61.575,-90.9
61.6,-92.6
61.625,-93.3
61.65,-92.3
61.675,-91.9
61.7,-92.8
61.725,-92.9
61.75,-93.8
61.775,-93.9
61.8,-94.4
61.825,-93.8
61.85,-93.5
61.875,-94.2
61.9,-92.1
61.925,-93.0
61.95,-91.9
61.975,-91.2
62.0,-91.9
62.025,-92.4
62.05,-92.1
62.075,-90.9
62.1,-89.6
62.125,-90.1
62.15,-90.6
62.175,-89.9
62.2,-90.4
62.225,-90.7
62.25,-89.8
62.275,-89.8
62.3,-89.7
62.325,-90.3
62.35,-90.1
62.375,-88.6
62.4,-89.5
62.425,-89.3
62.45,-89.0
62.475,-89.5
62.5,-89.1
62.525,-89.5
62.55,-89.3
62.575,-88.3
62.6,-88.4
62.625,-89.0
62.65,-88.8
62.675,-89.1
62.7,-88.6
62.725,-88.2
62.75,-88.5
62.775,-89.2
62.8,-90.0
62.825,-88.2
62.85,-89.1
62.875,-88.6
62.9,-90.1
62.925,-89.7
62.95,-90.7
62.975,-89.0
63.0,-90.5
63.025,-92.2
63.05,-89.6
63.075,-91.1
63.1,-91.6
63.125,-92.2
63.15,-92.2
63.175,-92.5
63.2,-91.9
63.225,-91.0
63.25,-91.3
63.275,-90.2
63.3,-90.1
63.325,-90.3
63.35,-90.7
63.375,-90.4
63.4,-91.2
63.425,-89.9
63.45,-90.0
63.475,-90.2
63.5,-89.4
63.525,-89.3
63.55,-89.6
63.575,-89.6
63.6,-88.6
63.625,-89.2
63.65,-89.8
63.675,-90.1
63.7,-89.3
63.725,-88.9
63.75,-88.5
63.775,-88.4
63.8,-89.2
63.825,-88.6
63.85,-90.6
63.875,-90.0
63.9,-89.0
63.925,-89.6
63.95,-89.6
63.975,-89.3
64.0,-89.4
64.0,-89.3
64.025,-89.2
64.05,-88.4
64.075,-89.5
64.1,-89.3
64.125,-89.7
64.15,-89.8
64.175,-89.4
64.2,-90.2
64.225,-90.2
64.25,-91.1
64.275,-90.3
64.3,-91.0
64.325,-89.7
64.35,-91.8
64.375,-91.6
64.4,-91.9
64.425,-90.7
64.45,-91.8
64.475,-91.9
64.5,-91.0
64.525,-93.3
64.55,-93.0
64.575,-93.7
64.6,-92.3
64.625,-93.6
64.65,-91.4
64.675,-90.9
64.7,-91.0
64.725,-92.0
64.75,-90.8
64.775,-90.7
64.8,-90.6
64.825,-90.4
64.85,-90.7
64.875,-89.3
64.9,-90.7
64.925,-89.7
64.95,-90.2
64.975,-90.2
65.0,-90.8
65.025,-89.8
65.05,-91.2
65.075,-89.3
65.1,-91.2
65.125,-91.4
65.15,-89.9
65.175,-90.4
65.2,-91.1
65.225,-91.1
65.25,-90.6
65.275,-91.4
65.3,-90.9
65.325,-90.6
65.35,-91.9
65.375,-91.3
65.4,-92.1
65.425,-91.1
65.45,-91.9
65.475,-91.7
65.5,-91.4
65.525,-92.1
65.55,-92.0
65.575,-93.4
65.6,-92.3
65.625,-93.4
65.65,-92.5
65.675,-93.0
65.7,-94.5
65.725,-92.0
65.75,-94.9
65.775,-93.7
65.8,-93.5
65.825,-93.9
65.85,-93.5
65.875,-93.6
65.9,-94.6
65.925,-94.2
65.95,-92.3
65.975,-91.1
66.0,-91.7
66.025,-91.9
66.05,-91.8
