Frequency (MHz),Level (dBm),Band Name
50.00,-39.61,Low VHF+FM
50.02,-86.88,Low VHF+FM
50.04,-82.72,Low VHF+FM
50.07,-80.06,Low VHF+FM
50.09,-81.29,Low VHF+FM
50.11,-87.38,Low VHF+FM
50.13,-91.80,Low VHF+FM
50.15,-91.50,Low VHF+FM
50.17,-89.40,Low VHF+FM
50.20,-81.51,Low VHF+FM
50.22,-79.46,Low VHF+FM
50.24,-90.10,Low VHF+FM
50.26,-88.32,Low VHF+FM
50.28,-89.22,Low VHF+FM
50.30,-89.06,Low VHF+FM
50.33,-90.04,Low VHF+FM
50.35,-90.09,Low VHF+FM
50.37,-86.68,Low VHF+FM
50.39,-88.03,Low VHF+FM
50.41,-87.29,Low VHF+FM
50.43,-87.71,Low VHF+FM
50.46,-87.64,Low VHF+FM
50.48,-85.22,Low VHF+FM
50.50,-81.65,Low VHF+FM
50.52,-87.38,Low VHF+FM
50.54,-86.07,Low VHF+FM
50.57,-85.84,Low VHF+FM
50.59,-85.25,Low VHF+FM
50.61,-80.13,Low VHF+FM
50.63,-79.44,Low VHF+FM
50.65,-79.74,Low VHF+FM
50.67,-82.95,Low VHF+FM
50.70,-84.20,Low VHF+FM
50.72,-87.67,Low VHF+FM
50.74,-78.58,Low VHF+FM
50.76,-88.39,Low VHF+FM
50.78,-86.37,Low VHF+FM
50.80,-88.58,Low VHF+FM
50.83,-84.22,Low VHF+FM
50.85,-84.75,Low VHF+FM
50.87,-88.23,Low VHF+FM
50.89,-90.78,Low VHF+FM
50.91,-93.38,Low VHF+FM
50.93,-90.49,Low VHF+FM
50.96,-90.98,Low VHF+FM
50.98,-91.67,Low VHF+FM
51.00,-81.58,Low VHF+FM
51.02,-89.55,Low VHF+FM
51.04,-89.78,Low VHF+FM
51.07,-90.10,Low VHF+FM
51.09,-91.15,Low VHF+FM
51.11,-88.75,Low VHF+FM
51.13,-92.60,Low VHF+FM
51.15,-91.25,Low VHF+FM
51.17,-90.41,Low VHF+FM
51.20,-91.16,Low VHF+FM
51.22,-90.79,Low VHF+FM
51.24,-86.53,Low VHF+FM
51.26,-89.90,Low VHF+FM
51.28,-88.16,Low VHF+FM
51.30,-90.24,Low VHF+FM
51.33,-88.87,Low VHF+FM
51.35,-92.11,Low VHF+FM
51.37,-88.03,Low VHF+FM
51.39,-91.15,Low VHF+FM
51.41,-88.75,Low VHF+FM
51.43,-91.13,Low VHF+FM
51.46,-88.50,Low VHF+FM
51.48,-75.91,Low VHF+FM
51.50,-87.56,Low VHF+FM
51.52,-87.58,Low VHF+FM
51.54,-73.33,Low VHF+FM
51.57,-87.74,Low VHF+FM
51.59,-86.34,Low VHF+FM
51.61,-82.85,Low VHF+FM
51.63,-88.32,Low VHF+FM
51.65,-87.59,Low VHF+FM
51.67,-87.17,Low VHF+FM
51.70,-86.22,Low VHF+FM
51.72,-86.15,Low VHF+FM
51.74,-79.83,Low VHF+FM
51.76,-87.83,Low VHF+FM
51.78,-91.11,Low VHF+FM
51.80,-87.21,Low VHF+FM
51.83,-84.33,Low VHF+FM
51.85,-90.17,Low VHF+FM
51.87,-90.82,Low VHF+FM
51.89,-89.10,Low VHF+FM
51.91,-89.88,Low VHF+FM
51.93,-90.63,Low VHF+FM
51.96,-91.12,Low VHF+FM
51.98,-84.17,Low VHF+FM
52.00,-90.21,Low VHF+FM
52.02,-90.90,Low VHF+FM
52.04,-76.97,Low VHF+FM
52.07,-77.98,Low VHF+FM
52.09,-89.98,Low VHF+FM
52.11,-91.68,Low VHF+FM
52.13,-85.57,Low VHF+FM
52.15,-83.62,Low VHF+FM
52.17,-84.71,Low VHF+FM
52.20,-90.61,Low VHF+FM
52.22,-82.15,Low VHF+FM
52.24,-85.59,Low VHF+FM
52.26,-90.34,Low VHF+FM
52.28,-88.53,Low VHF+FM
52.30,-91.03,Low VHF+FM
52.33,-82.90,Low VHF+FM
52.35,-78.65,Low VHF+FM
52.37,-89.32,Low VHF+FM
52.39,-88.07,Low VHF+FM
52.41,-89.55,Low VHF+FM
52.43,-86.36,Low VHF+FM
52.46,-88.89,Low VHF+FM
52.48,-88.06,Low VHF+FM
52.50,-79.14,Low VHF+FM
52.52,-86.19,Low VHF+FM
52.54,-89.03,Low VHF+FM
52.57,-79.35,Low VHF+FM
52.59,-89.14,Low VHF+FM
52.61,-89.51,Low VHF+FM
52.63,-90.74,Low VHF+FM
52.65,-90.34,Low VHF+FM
52.67,-88.14,Low VHF+FM
52.70,-89.52,Low VHF+FM
52.72,-84.78,Low VHF+FM
52.74,-88.67,Low VHF+FM
52.76,-84.78,Low VHF+FM
52.78,-88.66,Low VHF+FM
52.80,-81.55,Low VHF+FM
52.83,-90.35,Low VHF+FM
52.85,-86.78,Low VHF+FM
52.87,-87.28,Low VHF+FM
52.89,-89.48,Low VHF+FM
52.91,-77.48,Low VHF+FM
52.93,-88.38,Low VHF+FM
52.96,-89.35,Low VHF+FM
52.98,-90.78,Low VHF+FM
53.00,-89.82,Low VHF+FM
53.02,-88.57,Low VHF+FM
53.04,-91.49,Low VHF+FM
53.07,-84.85,Low VHF+FM
53.09,-78.36,Low VHF+FM
53.11,-90.13,Low VHF+FM
53.13,-91.35,Low VHF+FM
53.15,-89.90,Low VHF+FM
53.17,-89.74,Low VHF+FM
53.20,-91.39,Low VHF+FM
53.22,-84.94,Low VHF+FM
53.24,-89.83,Low VHF+FM
53.26,-90.52,Low VHF+FM
53.28,-87.65,Low VHF+FM
53.30,-85.89,Low VHF+FM
53.33,-90.34,Low VHF+FM
53.35,-88.93,Low VHF+FM
53.37,-87.19,Low VHF+FM
53.39,-90.08,Low VHF+FM
53.41,-89.12,Low VHF+FM
53.43,-91.83,Low VHF+FM
53.46,-90.48,Low VHF+FM
53.48,-90.66,Low VHF+FM
53.50,-90.92,Low VHF+FM
53.52,-90.29,Low VHF+FM
53.54,-89.63,Low VHF+FM
53.57,-91.84,Low VHF+FM
53.59,-88.20,Low VHF+FM
53.61,-91.02,Low VHF+FM
53.63,-90.12,Low VHF+FM
53.65,-91.76,Low VHF+FM
53.67,-91.40,Low VHF+FM
53.70,-89.79,Low VHF+FM
53.72,-85.24,Low VHF+FM
53.74,-90.25,Low VHF+FM
53.76,-92.09,Low VHF+FM
53.78,-90.73,Low VHF+FM
53.80,-91.75,Low VHF+FM
53.83,-91.57,Low VHF+FM
53.85,-91.16,Low VHF+FM
53.87,-90.65,Low VHF+FM
53.89,-91.04,Low VHF+FM
53.91,-90.62,Low VHF+FM
53.93,-90.82,Low VHF+FM
53.96,-92.41,Low VHF+FM
53.98,-91.45,Low VHF+FM
54.00,-89.23,Low VHF+FM
54.02,-91.24,Low VHF+FM
54.04,-91.08,Low VHF+FM
54.07,-91.33,Low VHF+FM
54.09,-91.57,Low VHF+FM
54.11,-91.03,Low VHF+FM
54.13,-91.29,Low VHF+FM
54.15,-91.70,Low VHF+FM
54.17,-90.41,Low VHF+FM
54.20,-90.35,Low VHF+FM
54.22,-91.19,Low VHF+FM
54.24,-91.75,Low VHF+FM
54.26,-91.52,Low VHF+FM
54.28,-90.33,Low VHF+FM
54.30,-91.80,Low VHF+FM
54.33,-89.92,Low VHF+FM
54.35,-89.89,Low VHF+FM
54.37,-90.74,Low VHF+FM
54.39,-92.14,Low VHF+FM
54.41,-90.18,Low VHF+FM
54.43,-89.55,Low VHF+FM
54.46,-88.95,Low VHF+FM
54.48,-90.30,Low VHF+FM
54.50,-91.30,Low VHF+FM
54.52,-88.87,Low VHF+FM
54.54,-89.87,Low VHF+FM
54.57,-89.97,Low VHF+FM
54.59,-90.02,Low VHF+FM
54.61,-90.35,Low VHF+FM
54.63,-88.12,Low VHF+FM
54.65,-92.11,Low VHF+FM
54.67,-90.34,Low VHF+FM
54.70,-90.67,Low VHF+FM
54.72,-90.93,Low VHF+FM
54.74,-88.28,Low VHF+FM
54.76,-88.80,Low VHF+FM
54.78,-90.92,Low VHF+FM
54.80,-89.13,Low VHF+FM
54.83,-90.03,Low VHF+FM
54.85,-89.58,Low VHF+FM
54.87,-89.20,Low VHF+FM
54.89,-90.04,Low VHF+FM
54.91,-90.34,Low VHF+FM
