Frequency (MHz),Level (dBm),Band Name
50.00,-104.10,Low VHF+FM
50.01,-105.03,Low VHF+FM
50.02,-103.90,Low VHF+FM
50.03,-107.40,Low VHF+FM
50.03,-104.35,Low VHF+FM
50.04,-106.70,Low VHF+FM
50.05,-104.95,Low VHF+FM
50.06,-105.22,Low VHF+FM
50.07,-104.52,Low VHF+FM
50.08,-105.66,Low VHF+FM
50.09,-105.16,Low VHF+FM
50.10,-105.52,Low VHF+FM
50.10,-102.98,Low VHF+FM
50.11,-105.15,Low VHF+FM
50.12,-103.79,Low VHF+FM
50.13,-106.20,Low VHF+FM
50.14,-105.45,Low VHF+FM
50.15,-104.53,Low VHF+FM
50.16,-101.83,Low VHF+FM
50.17,-104.07,Low VHF+FM
50.17,-106.58,Low VHF+FM
50.18,-108.07,Low VHF+FM
50.19,-102.83,Low VHF+FM
50.20,-105.83,Low VHF+FM
50.21,-103.87,Low VHF+FM
50.22,-105.01,Low VHF+FM
50.23,-104.53,Low VHF+FM
50.23,-104.96,Low VHF+FM
50.24,-106.44,Low VHF+FM
50.25,-104.75,Low VHF+FM
50.26,-104.93,Low VHF+FM
50.27,-102.33,Low VHF+FM
50.28,-104.78,Low VHF+FM
50.29,-103.84,Low VHF+FM
50.30,-104.98,Low VHF+FM
50.30,-104.97,Low VHF+FM
50.31,-104.33,Low VHF+FM
50.32,-105.36,Low VHF+FM
50.33,-103.16,Low VHF+FM
50.34,-105.69,Low VHF+FM
50.35,-102.32,Low VHF+FM
50.36,-103.93,Low VHF+FM
50.37,-103.74,Low VHF+FM
50.37,-106.30,Low VHF+FM
50.38,-105.35,Low VHF+FM
50.39,-107.46,Low VHF+FM
50.40,-106.54,Low VHF+FM
50.41,-105.07,Low VHF+FM
50.42,-101.63,Low VHF+FM
50.43,-105.98,Low VHF+FM
50.43,-105.18,Low VHF+FM
50.44,-105.57,Low VHF+FM
50.45,-105.31,Low VHF+FM
50.46,-105.97,Low VHF+FM
50.47,-107.01,Low VHF+FM
50.48,-104.42,Low VHF+FM
50.49,-105.32,Low VHF+FM
50.50,-105.27,Low VHF+FM
50.50,-105.28,Low VHF+FM
50.51,-106.31,Low VHF+FM
50.52,-103.63,Low VHF+FM
50.53,-105.74,Low VHF+FM
50.54,-105.22,Low VHF+FM
50.55,-104.72,Low VHF+FM
50.56,-107.00,Low VHF+FM
50.57,-103.58,Low VHF+FM
50.57,-104.06,Low VHF+FM
50.58,-104.30,Low VHF+FM
50.59,-103.87,Low VHF+FM
50.60,-104.79,Low VHF+FM
50.61,-106.22,Low VHF+FM
50.62,-106.60,Low VHF+FM
50.63,-106.54,Low VHF+FM
50.63,-104.86,Low VHF+FM
50.64,-104.41,Low VHF+FM
50.65,-105.23,Low VHF+FM
50.66,-103.89,Low VHF+FM
50.67,-104.12,Low VHF+FM
50.68,-101.84,Low VHF+FM
50.69,-102.29,Low VHF+FM
50.70,-103.06,Low VHF+FM
50.70,-105.48,Low VHF+FM
50.71,-105.84,Low VHF+FM
50.72,-105.38,Low VHF+FM
50.73,-104.34,Low VHF+FM
50.74,-107.01,Low VHF+FM
50.75,-104.74,Low VHF+FM
50.76,-106.34,Low VHF+FM
50.77,-105.82,Low VHF+FM
50.77,-105.11,Low VHF+FM
50.78,-105.77,Low VHF+FM
50.79,-105.12,Low VHF+FM
50.80,-104.75,Low VHF+FM
50.81,-106.46,Low VHF+FM
50.82,-106.68,Low VHF+FM
50.83,-106.70,Low VHF+FM
50.83,-105.05,Low VHF+FM
50.84,-105.69,Low VHF+FM
50.85,-105.85,Low VHF+FM
50.86,-105.36,Low VHF+FM
50.87,-105.47,Low VHF+FM
50.88,-104.10,Low VHF+FM
50.89,-104.75,Low VHF+FM
50.90,-104.97,Low VHF+FM
50.90,-103.61,Low VHF+FM
50.91,-106.36,Low VHF+FM
50.92,-106.05,Low VHF+FM
50.93,-106.32,Low VHF+FM
50.94,-105.62,Low VHF+FM
50.95,-104.44,Low VHF+FM
50.96,-103.52,Low VHF+FM
50.97,-105.21,Low VHF+FM
50.97,-105.40,Low VHF+FM
50.98,-106.57,Low VHF+FM
50.99,-106.14,Low VHF+FM
51.00,-106.35,Low VHF+FM
51.01,-104.74,Low VHF+FM
51.02,-106.40,Low VHF+FM
51.03,-103.20,Low VHF+FM
51.03,-104.89,Low VHF+FM
51.04,-106.29,Low VHF+FM
51.05,-106.40,Low VHF+FM
51.06,-104.83,Low VHF+FM
51.07,-104.46,Low VHF+FM
51.08,-105.28,Low VHF+FM
51.09,-106.23,Low VHF+FM
51.10,-105.45,Low VHF+FM
51.10,-107.36,Low VHF+FM
51.11,-106.34,Low VHF+FM
51.12,-105.65,Low VHF+FM
51.13,-104.95,Low VHF+FM
51.14,-105.01,Low VHF+FM
51.15,-107.26,Low VHF+FM
51.16,-104.27,Low VHF+FM
51.17,-104.60,Low VHF+FM
51.17,-103.79,Low VHF+FM
51.18,-106.04,Low VHF+FM
51.19,-106.10,Low VHF+FM
51.20,-105.25,Low VHF+FM
51.21,-105.04,Low VHF+FM
51.22,-105.80,Low VHF+FM
51.23,-106.35,Low VHF+FM
51.23,-105.73,Low VHF+FM
51.24,-104.43,Low VHF+FM
51.25,-106.19,Low VHF+FM
51.26,-103.39,Low VHF+FM
51.27,-103.40,Low VHF+FM
51.28,-104.35,Low VHF+FM
51.29,-105.99,Low VHF+FM
51.30,-103.75,Low VHF+FM
51.30,-106.04,Low VHF+FM
51.31,-103.45,Low VHF+FM
51.32,-105.31,Low VHF+FM
51.33,-104.21,Low VHF+FM
51.34,-104.28,Low VHF+FM
51.35,-105.38,Low VHF+FM
51.36,-102.95,Low VHF+FM
51.37,-104.34,Low VHF+FM
51.37,-104.21,Low VHF+FM
51.38,-105.90,Low VHF+FM
51.39,-105.54,Low VHF+FM
51.40,-105.20,Low VHF+FM
51.41,-104.06,Low VHF+FM
51.42,-106.88,Low VHF+FM
51.43,-108.00,Low VHF+FM
51.43,-104.26,Low VHF+FM
51.44,-105.70,Low VHF+FM
51.45,-104.36,Low VHF+FM
51.46,-104.23,Low VHF+FM
51.47,-107.04,Low VHF+FM
51.48,-106.54,Low VHF+FM
51.49,-104.37,Low VHF+FM
51.50,-106.52,Low VHF+FM
51.50,-105.10,Low VHF+FM
51.51,-107.06,Low VHF+FM
51.52,-106.36,Low VHF+FM
51.53,-105.92,Low VHF+FM
51.54,-106.30,Low VHF+FM
51.55,-106.08,Low VHF+FM
51.56,-104.49,Low VHF+FM
51.57,-105.34,Low VHF+FM
51.57,-103.07,Low VHF+FM
51.58,-105.85,Low VHF+FM
51.59,-105.27,Low VHF+FM
51.60,-105.84,Low VHF+FM
51.61,-106.57,Low VHF+FM
51.62,-107.22,Low VHF+FM
51.63,-104.42,Low VHF+FM
51.63,-106.31,Low VHF+FM
51.64,-104.19,Low VHF+FM
51.65,-105.41,Low VHF+FM
51.66,-104.51,Low VHF+FM
51.67,-105.55,Low VHF+FM
51.68,-104.19,Low VHF+FM
51.69,-104.72,Low VHF+FM
51.70,-104.67,Low VHF+FM
51.70,-105.45,Low VHF+FM
51.71,-103.31,Low VHF+FM
51.72,-105.18,Low VHF+FM
51.73,-106.49,Low VHF+FM
51.74,-105.33,Low VHF+FM
51.75,-103.39,Low VHF+FM
51.76,-103.84,Low VHF+FM
51.77,-105.32,Low VHF+FM
51.77,-103.39,Low VHF+FM
51.78,-103.09,Low VHF+FM
51.79,-103.59,Low VHF+FM
51.80,-105.24,Low VHF+FM
51.81,-103.76,Low VHF+FM
51.82,-106.57,Low VHF+FM
51.83,-104.23,Low VHF+FM
51.83,-106.92,Low VHF+FM
51.84,-105.43,Low VHF+FM
51.85,-105.10,Low VHF+FM
51.86,-106.99,Low VHF+FM
51.87,-106.41,Low VHF+FM
51.88,-106.10,Low VHF+FM
51.89,-104.66,Low VHF+FM
51.90,-104.80,Low VHF+FM
51.90,-104.73,Low VHF+FM
51.91,-105.01,Low VHF+FM
51.92,-102.93,Low VHF+FM
51.93,-105.58,Low VHF+FM
51.94,-102.67,Low VHF+FM
51.95,-103.73,Low VHF+FM
51.96,-105.33,Low VHF+FM
51.97,-103.98,Low VHF+FM
51.97,-105.66,Low VHF+FM
51.98,-103.48,Low VHF+FM
51.99,-106.29,Low VHF+FM
52.00,-104.13,Low VHF+FM
52.01,-104.86,Low VHF+FM
52.02,-104.60,Low VHF+FM
52.03,-104.27,Low VHF+FM
52.03,-105.33,Low VHF+FM
52.04,-103.87,Low VHF+FM
52.05,-103.75,Low VHF+FM
52.06,-102.98,Low VHF+FM
52.07,-103.14,Low VHF+FM
52.08,-106.08,Low VHF+FM
52.09,-105.41,Low VHF+FM
52.10,-106.85,Low VHF+FM
52.10,-103.92,Low VHF+FM
52.11,-105.37,Low VHF+FM
52.12,-104.39,Low VHF+FM
52.13,-104.99,Low VHF+FM
52.14,-107.22,Low VHF+FM
52.15,-103.76,Low VHF+FM
52.16,-105.92,Low VHF+FM
