Frequency (MHz),Level (dBm),Band Name,Peak Indicator
50.00,-108.04,Low VHF+FM,
50.01,-106.72,Low VHF+FM,
50.02,-106.91,Low VHF+FM,
50.03,-112.74,Low VHF+FM,
50.03,-111.20,Low VHF+FM,
50.04,-104.95,Low VHF+FM,
50.05,-106.76,Low VHF+FM,
50.06,-107.66,Low VHF+FM,
50.07,-111.34,Low VHF+FM,
50.08,-109.18,Low VHF+FM,
50.09,-106.57,Low VHF+FM,
50.10,-107.16,Low VHF+FM,
50.10,-108.06,Low VHF+FM,
50.11,-107.03,Low VHF+FM,
50.12,-102.54,Low VHF+FM,
50.13,-110.08,Low VHF+FM,
50.14,-105.97,Low VHF+FM,
50.15,-112.67,Low VHF+FM,
50.16,-107.89,Low VHF+FM,
50.17,-109.09,Low VHF+FM,
50.17,-108.69,Low VHF+FM,
50.18,-114.47,Low VHF+FM,
50.19,-102.70,Low VHF+FM,
50.20,-114.13,Low VHF+FM,
50.21,-111.97,Low VHF+FM,
50.22,-105.19,Low VHF+FM,
50.23,-111.18,Low VHF+FM,
50.23,-110.64,Low VHF+FM,
50.24,-107.16,Low VHF+FM,
50.25,-107.50,Low VHF+FM,
50.26,-109.41,Low VHF+FM,
50.27,-101.35,Low VHF+FM,
50.28,-114.98,Low VHF+FM,
50.29,-114.74,Low VHF+FM,
50.30,-113.69,Low VHF+FM,
50.30,-107.29,Low VHF+FM,
50.31,-111.20,Low VHF+FM,
50.32,-107.90,Low VHF+FM,
50.33,-115.26,Low VHF+FM,
50.34,-109.66,Low VHF+FM,
50.35,-108.37,Low VHF+FM,
50.36,-105.64,Low VHF+FM,
50.37,-108.70,Low VHF+FM,
50.37,-108.40,Low VHF+FM,
50.38,-107.77,Low VHF+FM,
50.39,-115.19,Low VHF+FM,
50.40,-110.16,Low VHF+FM,
50.41,-105.01,Low VHF+FM,
50.42,-105.29,Low VHF+FM,
50.43,-104.03,Low VHF+FM,
50.43,-104.57,Low VHF+FM,
50.44,-107.58,Low VHF+FM,
50.45,-113.44,Low VHF+FM,
50.46,-109.74,Low VHF+FM,
50.47,-105.87,Low VHF+FM,
50.48,-103.88,Low VHF+FM,
50.49,-108.02,Low VHF+FM,
50.50,-116.59,Low VHF+FM,
50.50,-109.74,Low VHF+FM,
50.51,-110.30,Low VHF+FM,
50.52,-109.28,Low VHF+FM,
50.53,-110.55,Low VHF+FM,
50.54,-114.76,Low VHF+FM,
50.55,-110.84,Low VHF+FM,
50.56,-110.79,Low VHF+FM,
50.57,-109.15,Low VHF+FM,
50.57,-109.10,Low VHF+FM,
50.58,-113.02,Low VHF+FM,
50.59,-110.72,Low VHF+FM,
50.60,-112.39,Low VHF+FM,
50.61,-108.12,Low VHF+FM,
50.62,-109.85,Low VHF+FM,
50.63,-107.55,Low VHF+FM,
50.63,-108.75,Low VHF+FM,
50.64,-109.14,Low VHF+FM,
50.65,-109.35,Low VHF+FM,
50.66,-108.06,Low VHF+FM,
50.67,-103.98,Low VHF+FM,
50.68,-105.91,Low VHF+FM,
50.69,-104.48,Low VHF+FM,
50.70,-108.23,Low VHF+FM,
50.70,-104.02,Low VHF+FM,
50.71,-112.31,Low VHF+FM,
50.72,-107.63,Low VHF+FM,
50.73,-111.99,Low VHF+FM,
50.74,-107.67,Low VHF+FM,
50.75,-109.53,Low VHF+FM,
50.76,-104.65,Low VHF+FM,
50.77,-107.15,Low VHF+FM,
50.77,-112.76,Low VHF+FM,
50.78,-109.40,Low VHF+FM,
50.79,-113.45,Low VHF+FM,
50.80,-112.13,Low VHF+FM,
50.81,-109.27,Low VHF+FM,
50.82,-112.15,Low VHF+FM,
50.83,-107.11,Low VHF+FM,
50.83,-112.02,Low VHF+FM,
50.84,-112.53,Low VHF+FM,
50.85,-110.81,Low VHF+FM,
50.86,-109.20,Low VHF+FM,
50.87,-108.41,Low VHF+FM,
50.88,-105.25,Low VHF+FM,
50.89,-108.69,Low VHF+FM,
50.90,-107.39,Low VHF+FM,
50.90,-110.27,Low VHF+FM,
50.91,-111.23,Low VHF+FM,
50.92,-110.57,Low VHF+FM,
50.93,-109.07,Low VHF+FM,
50.94,-111.53,Low VHF+FM,
50.95,-106.87,Low VHF+FM,
50.96,-107.06,Low VHF+FM,
50.97,-106.69,Low VHF+FM,
50.97,-110.84,Low VHF+FM,
50.98,-107.62,Low VHF+FM,
50.99,-108.48,Low VHF+FM,
51.00,-107.99,Low VHF+FM,
51.01,-112.54,Low VHF+FM,
51.02,-108.30,Low VHF+FM,
51.03,-108.87,Low VHF+FM,
51.03,-114.84,Low VHF+FM,
51.04,-107.53,Low VHF+FM,
51.05,-109.13,Low VHF+FM,
51.06,-112.13,Low VHF+FM,
51.07,-105.86,Low VHF+FM,
51.08,-112.04,Low VHF+FM,
51.09,-108.46,Low VHF+FM,
51.10,-110.62,Low VHF+FM,
51.10,-111.76,Low VHF+FM,
51.11,-109.35,Low VHF+FM,
51.12,-106.19,Low VHF+FM,
51.13,-113.48,Low VHF+FM,
51.14,-110.46,Low VHF+FM,
51.15,-108.82,Low VHF+FM,
51.16,-106.54,Low VHF+FM,
51.17,-107.42,Low VHF+FM,
51.17,-112.20,Low VHF+FM,
51.18,-107.34,Low VHF+FM,
51.19,-108.49,Low VHF+FM,
51.20,-106.99,Low VHF+FM,
51.21,-107.52,Low VHF+FM,
51.22,-111.49,Low VHF+FM,
51.23,-111.99,Low VHF+FM,
51.23,-110.46,Low VHF+FM,
51.24,-113.74,Low VHF+FM,
51.25,-107.28,Low VHF+FM,
51.26,-107.14,Low VHF+FM,
51.27,-106.43,Low VHF+FM,
51.28,-109.73,Low VHF+FM,
51.29,-107.87,Low VHF+FM,
51.30,-106.17,Low VHF+FM,
51.30,-110.28,Low VHF+FM,
51.31,-105.96,Low VHF+FM,
51.32,-109.36,Low VHF+FM,
51.33,-113.69,Low VHF+FM,
51.34,-116.87,Low VHF+FM,
51.35,-110.12,Low VHF+FM,
51.36,-108.88,Low VHF+FM,
51.37,-103.80,Low VHF+FM,
51.37,-107.12,Low VHF+FM,
51.38,-114.13,Low VHF+FM,
51.39,-106.27,Low VHF+FM,
51.40,-106.84,Low VHF+FM,
51.41,-108.91,Low VHF+FM,
51.42,-110.78,Low VHF+FM,
51.43,-108.34,Low VHF+FM,
51.43,-108.11,Low VHF+FM,
51.44,-107.47,Low VHF+FM,
51.45,-107.26,Low VHF+FM,
51.46,-110.49,Low VHF+FM,
51.47,-108.12,Low VHF+FM,
51.48,-107.31,Low VHF+FM,
51.49,-105.81,Low VHF+FM,
51.50,-106.90,Low VHF+FM,
