Frequency (MHz),Level (dBm),Band Name,Peak Indicator
50.00,-39.62,Low VHF+FM,
50.02,-86.58,Low VHF+FM,
50.04,-82.03,Low VHF+FM,
50.07,-79.95,Low VHF+FM,
50.09,-80.69,Low VHF+FM,
50.11,-87.55,Low VHF+FM,
50.13,-92.01,Low VHF+FM,
50.15,-92.06,Low VHF+FM,
50.17,-89.13,Low VHF+FM,
50.20,-82.47,Low VHF+FM,
50.22,-78.84,Low VHF+FM,
50.24,-86.70,Low VHF+FM,
50.26,-90.05,Low VHF+FM,
50.28,-87.58,Low VHF+FM,
50.30,-90.32,Low VHF+FM,
50.33,-88.28,Low VHF+FM,
50.35,-89.86,Low VHF+FM,
50.37,-87.12,Low VHF+FM,
50.39,-87.85,Low VHF+FM,
50.41,-88.00,Low VHF+FM,
50.43,-85.63,Low VHF+FM,
50.46,-86.57,Low VHF+FM,
50.48,-88.70,Low VHF+FM,
50.50,-83.77,Low VHF+FM,
50.52,-88.09,Low VHF+FM,
50.54,-88.21,Low VHF+FM,
50.57,-86.38,Low VHF+FM,
50.59,-85.95,Low VHF+FM,
50.61,-78.63,Low VHF+FM,
50.63,-81.82,Low VHF+FM,
50.65,-80.70,Low VHF+FM,
50.67,-81.52,Low VHF+FM,
50.70,-84.05,Low VHF+FM,
50.72,-85.97,Low VHF+FM,
50.74,-79.27,Low VHF+FM,
50.76,-89.80,Low VHF+FM,
50.78,-89.95,Low VHF+FM,
50.80,-86.62,Low VHF+FM,
50.83,-86.12,Low VHF+FM,
50.85,-85.84,Low VHF+FM,
50.87,-88.75,Low VHF+FM,
50.89,-89.42,Low VHF+FM,
50.91,-91.16,Low VHF+FM,
50.93,-90.39,Low VHF+FM,
50.96,-91.19,Low VHF+FM,
50.98,-87.89,Low VHF+FM,
51.00,-84.05,Low VHF+FM,
51.02,-91.20,Low VHF+FM,
51.04,-90.69,Low VHF+FM,
51.07,-91.75,Low VHF+FM,
51.09,-92.30,Low VHF+FM,
51.11,-91.77,Low VHF+FM,
51.13,-92.92,Low VHF+FM,
51.15,-91.74,Low VHF+FM,
51.17,-89.19,Low VHF+FM,
51.20,-90.03,Low VHF+FM,
51.22,-89.72,Low VHF+FM,
51.24,-82.43,Low VHF+FM,
51.26,-88.35,Low VHF+FM,
51.28,-87.84,Low VHF+FM,
51.30,-89.16,Low VHF+FM,
51.33,-88.53,Low VHF+FM,
51.35,-90.59,Low VHF+FM,
51.37,-86.14,Low VHF+FM,
51.39,-90.32,Low VHF+FM,
51.41,-90.23,Low VHF+FM,
51.43,-92.00,Low VHF+FM,
51.46,-91.28,Low VHF+FM,
51.48,-72.69,Low VHF+FM,
51.50,-87.20,Low VHF+FM,
51.52,-87.14,Low VHF+FM,
51.54,-77.46,Low VHF+FM,
51.57,-87.13,Low VHF+FM,
51.59,-86.63,Low VHF+FM,
51.61,-83.80,Low VHF+FM,
51.63,-90.00,Low VHF+FM,
51.65,-89.50,Low VHF+FM,
51.67,-86.21,Low VHF+FM,
51.70,-88.39,Low VHF+FM,
51.72,-85.32,Low VHF+FM,
51.74,-80.84,Low VHF+FM,
51.76,-89.89,Low VHF+FM,
51.78,-90.35,Low VHF+FM,
51.80,-87.77,Low VHF+FM,
51.83,-90.89,Low VHF+FM,
51.85,-87.34,Low VHF+FM,
51.87,-90.59,Low VHF+FM,
51.89,-90.26,Low VHF+FM,
51.91,-89.65,Low VHF+FM,
51.93,-90.30,Low VHF+FM,
51.96,-89.72,Low VHF+FM,
51.98,-88.00,Low VHF+FM,
52.00,-88.98,Low VHF+FM,
52.02,-90.78,Low VHF+FM,
52.04,-72.69,Low VHF+FM,
52.07,-81.18,Low VHF+FM,
52.09,-90.55,Low VHF+FM,
52.11,-89.66,Low VHF+FM,
52.13,-82.46,Low VHF+FM,
52.15,-87.59,Low VHF+FM,
52.17,-88.08,Low VHF+FM,
52.20,-90.33,Low VHF+FM,
52.22,-79.45,Low VHF+FM,
52.24,-86.13,Low VHF+FM,
52.26,-91.07,Low VHF+FM,
52.28,-87.97,Low VHF+FM,
52.30,-91.49,Low VHF+FM,
52.33,-89.78,Low VHF+FM,
52.35,-90.67,Low VHF+FM,
52.37,-85.35,Low VHF+FM,
52.39,-86.46,Low VHF+FM,
52.41,-88.99,Low VHF+FM,
52.43,-85.75,Low VHF+FM,
52.46,-86.33,Low VHF+FM,
52.48,-83.23,Low VHF+FM,
52.50,-83.32,Low VHF+FM,
52.52,-84.11,Low VHF+FM,
52.54,-87.31,Low VHF+FM,
52.57,-78.70,Low VHF+FM,
52.59,-87.30,Low VHF+FM,
52.61,-89.63,Low VHF+FM,
52.63,-87.74,Low VHF+FM,
52.65,-92.41,Low VHF+FM,
52.67,-88.63,Low VHF+FM,
52.70,-90.68,Low VHF+FM,
52.72,-83.16,Low VHF+FM,
52.74,-89.26,Low VHF+FM,
52.76,-89.97,Low VHF+FM,
52.78,-88.98,Low VHF+FM,
52.80,-88.51,Low VHF+FM,
52.83,-89.29,Low VHF+FM,
52.85,-87.28,Low VHF+FM,
52.87,-90.61,Low VHF+FM,
52.89,-91.16,Low VHF+FM,
52.91,-89.47,Low VHF+FM,
52.93,-89.09,Low VHF+FM,
52.96,-91.22,Low VHF+FM,
52.98,-91.01,Low VHF+FM,
53.00,-90.86,Low VHF+FM,
53.02,-89.92,Low VHF+FM,
53.04,-91.38,Low VHF+FM,
53.07,-86.31,Low VHF+FM,
53.09,-73.47,Low VHF+FM,
53.11,-89.58,Low VHF+FM,
53.13,-90.80,Low VHF+FM,
53.15,-88.09,Low VHF+FM,
53.17,-89.25,Low VHF+FM,
53.20,-89.16,Low VHF+FM,
53.22,-85.05,Low VHF+FM,
53.24,-90.63,Low VHF+FM,
53.26,-91.83,Low VHF+FM,
53.28,-90.14,Low VHF+FM,
53.30,-86.24,Low VHF+FM,
53.33,-90.52,Low VHF+FM,
53.35,-87.91,Low VHF+FM,
53.37,-88.41,Low VHF+FM,
53.39,-90.10,Low VHF+FM,
53.41,-90.62,Low VHF+FM,
53.43,-92.11,Low VHF+FM,
53.46,-89.83,Low VHF+FM,
53.48,-91.33,Low VHF+FM,
53.50,-90.84,Low VHF+FM,
53.52,-90.55,Low VHF+FM,
53.54,-90.14,Low VHF+FM,
53.57,-90.65,Low VHF+FM,
53.59,-92.87,Low VHF+FM,
53.61,-91.44,Low VHF+FM,
53.63,-91.60,Low VHF+FM,
53.65,-90.65,Low VHF+FM,
53.67,-91.06,Low VHF+FM,
53.70,-90.94,Low VHF+FM,
53.72,-83.54,Low VHF+FM,
53.74,-91.41,Low VHF+FM,
53.76,-91.88,Low VHF+FM,
53.78,-92.38,Low VHF+FM,
53.80,-90.90,Low VHF+FM,
53.83,-91.10,Low VHF+FM,
53.85,-89.74,Low VHF+FM,
53.87,-89.35,Low VHF+FM,
53.89,-89.27,Low VHF+FM,
53.91,-90.64,Low VHF+FM,
53.93,-89.55,Low VHF+FM,
53.96,-91.12,Low VHF+FM,
53.98,-90.59,Low VHF+FM,
54.00,-90.35,Low VHF+FM,
54.02,-91.27,Low VHF+FM,
54.04,-90.46,Low VHF+FM,
54.07,-92.13,Low VHF+FM,
54.09,-89.88,Low VHF+FM,
54.11,-89.62,Low VHF+FM,
54.13,-91.01,Low VHF+FM,
54.15,-89.62,Low VHF+FM,
54.17,-90.23,Low VHF+FM,
54.20,-89.32,Low VHF+FM,
54.22,-90.76,Low VHF+FM,
54.24,-90.33,Low VHF+FM,
54.26,-90.13,Low VHF+FM,
54.28,-90.54,Low VHF+FM,
54.30,-88.11,Low VHF+FM,
54.33,-91.26,Low VHF+FM,
54.35,-91.11,Low VHF+FM,
