Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,21.035,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 1,695.69,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,22.245,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 1,695.085,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,22.775,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 19,695.69,471.385
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,22.985,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 1,694.715,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,23.985,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 19,695.085,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,24.02,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,24.02,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,695.69
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,24.725,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 19,694.715,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,25.23,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,25.23,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,695.085
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,25.715,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 2,695.69,472.365
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,25.97,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,25.97,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,471.8,694.715
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,26.925,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 2,695.085,472.365
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,27.095,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,27.095,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,695.69
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,27.665,Medium,Generic - 662-698,Senn EM3732 A - ACR4 RF 2,694.715,472.365
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,28.215,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Senn EM3732 A - ACR4 RF 1,692.1,470.805
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,28.22,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,28.22,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,28.305,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,28.305,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,29.045,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,29.045,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,472.825,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,29.43,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,29.43,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,695.085
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,29.955,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Senn EM3732 A - ACR2 RF 19,692.1,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,30.17,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,30.17,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,473.2,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,30.695,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,30.695,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,31.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,471.8,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,31.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,471.8,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,31.905,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,31.905,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,695.085
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,32.12,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 20,695.69,474.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,32.415,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 1,690.0,470.805
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,32.645,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,32.645,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,474.025,694.715
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,32.895,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Senn EM3732 A - ACR4 RF 2,692.1,472.365
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,33.33,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 20,695.085,474.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,34.07,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 20,694.715,474.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,34.155,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR2 RF 19,690.0,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,34.275,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,472.825,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,34.275,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,472.825,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,34.745,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,34.745,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,695.69
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,34.865,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 1,688.775,470.805
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,35.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',471.8,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,35.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,473.2,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,35.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',471.8,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,35.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,473.2,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,35.955,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,35.955,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,695.085
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,36.605,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR2 RF 19,688.775,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,36.695,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,694.715
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,36.695,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Generic - 662-698,475.375,694.715
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,36.77,Medium,Generic - 662-698,Generic Generic - CP24 Intercom Tx,695.69,476.05
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,37.015,Medium,Lectrosonics 100 KHz Block 26 - 'D/D,Senn EM3732 A - ACR4 RF 1,687.7,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,37.095,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 2,690.0,472.365
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,37.85,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',471.8,688.775
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,37.85,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',471.8,688.775
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,37.875,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,474.025,692.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,37.875,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 27 - CP24 IFB 18  Patio,474.025,692.1
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,37.98,Medium,Generic - 662-698,Generic Generic - CP24 Intercom Tx,695.085,476.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,38.475,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',472.825,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,38.475,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',472.825,690.0
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,38.72,Medium,Generic - 662-698,Generic Generic - CP24 Intercom Tx,694.715,476.05
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,38.755,Medium,Lectrosonics 100 KHz Block 26 - 'D/D,Senn EM3732 A - ACR2 RF 19,687.7,471.385
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,39.3,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Senn EM3732 A - ACR2 RF 20,692.1,474.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,39.545,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 2,688.775,472.365
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,39.6,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',473.2,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,39.6,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',473.2,690.0
