Frequency (Hz),Level (dBm)
50.00,-84.94
50.03,-84.71
50.05,-83.94
50.08,-79.54
50.11,-78.44
50.14,-80.32
50.16,-83.72
50.19,-79.11
50.22,-80.22
50.24,-79.72
50.27,-80.23
50.30,-85.48
50.33,-84.16
50.35,-84.41
50.38,-86.77
50.41,-90.27
50.43,-90.30
50.46,-84.02
50.49,-82.53
50.52,-85.32
50.54,-88.34
50.57,-81.74
50.60,-81.73
50.62,-82.58
50.65,-80.20
50.68,-69.76
50.71,-69.84
50.73,-80.22
50.76,-80.88
50.79,-79.08
50.81,-81.50
50.84,-82.96
50.87,-81.21
50.89,-81.38
50.92,-83.24
50.95,-84.69
50.98,-83.55
51.00,-82.93
51.03,-83.12
51.06,-78.82
51.08,-78.79
51.11,-81.07
51.14,-81.67
51.17,-81.10
51.19,-84.79
51.22,-87.47
51.25,-84.19
51.27,-80.28
51.30,-79.68
51.33,-79.00
51.36,-81.53
51.38,-85.24
51.41,-83.30
51.44,-82.68
51.46,-87.05
51.49,-83.87
51.52,-82.93
51.55,-82.92
51.57,-85.08
51.60,-83.99
51.63,-82.60
51.65,-84.22
51.68,-89.15
51.71,-82.70
51.74,-82.80
51.76,-85.63
51.79,-82.54
51.82,-85.42
51.84,-89.76
51.87,-84.10
51.90,-84.66
51.93,-87.05
51.95,-83.79
51.98,-83.74
52.01,-88.86
52.03,-88.30
52.06,-93.68
52.09,-90.01
52.12,-81.69
52.14,-81.33
52.17,-83.62
52.20,-84.37
52.22,-82.84
52.25,-86.07
52.28,-86.24
52.31,-79.01
52.33,-78.79
52.36,-82.63
52.39,-81.00
52.41,-79.29
52.44,-79.54
52.47,-85.45
52.49,-81.43
52.52,-78.53
52.55,-78.61
52.58,-82.70
52.60,-88.95
52.63,-82.99
52.66,-84.50
52.68,-81.67
52.71,-80.70
52.74,-81.79
52.77,-79.02
52.79,-78.76
52.82,-81.61
52.85,-84.92
52.87,-82.25
52.90,-80.67
52.93,-80.66
52.96,-82.69
52.98,-93.38
53.01,-82.28
53.04,-82.59
53.06,-84.15
53.09,-81.66
53.12,-81.22
53.15,-82.00
53.17,-86.49
53.20,-85.55
53.23,-84.34
53.25,-84.47
53.28,-81.81
53.31,-82.43
53.34,-84.45
53.36,-79.85
53.39,-77.40
53.42,-78.24
53.44,-83.79
53.47,-84.65
53.50,-83.15
53.53,-84.13
53.55,-83.86
53.58,-82.56
53.61,-79.96
53.63,-81.60
53.66,-78.71
53.69,-78.83
53.72,-81.43
53.74,-67.69
53.77,-67.34
53.80,-75.59
53.82,-85.75
53.85,-82.88
53.88,-81.58
53.91,-86.00
53.93,-78.71
53.96,-77.52
53.99,-83.24
54.01,-89.29
54.04,-78.04
54.07,-78.12
54.10,-85.35
54.12,-82.82
54.15,-79.78
54.18,-81.10
54.20,-81.64
54.23,-79.48
54.26,-79.30
54.28,-84.53
54.31,-83.62
54.34,-79.96
54.37,-79.99
54.39,-80.68
54.42,-82.04
54.45,-85.28
54.47,-83.60
54.50,-83.43
54.53,-83.53
54.56,-83.93
54.58,-84.01
54.61,-86.23
54.64,-86.15
54.66,-86.75
54.69,-82.15
54.72,-82.25
54.75,-85.06
54.77,-87.47
54.80,-79.59
54.83,-79.42
54.85,-83.60
54.88,-85.69
54.91,-87.10
54.94,-89.99
54.96,-81.35
54.99,-80.79
