Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
50.000,,,,,,
50.108,,,,,,
50.217,,,,,,
50.325,,,,,,
50.434,,,,,,
50.542,,,,,,
50.651,,,,,,
50.759,,,,,,
50.868,,,,,,
50.976,,,,,,
51.085,,,,,,
51.193,,,,,,
51.302,,,,,,
51.410,,,,,,
51.519,,,,,,
51.627,,,,,,
51.736,,,,,,
51.844,,,,,,
51.953,,,,,,
52.061,,,,,,
52.170,,,,,,
52.278,,,,,,
52.387,,,,,,
52.495,,,,,,
52.603,,,,,,
52.712,,,,,,
52.820,,,,,,
52.929,,,,,,
53.037,,,,,,
53.146,,,,,,
53.254,,,,,,
53.363,,,,,,
53.471,,,,,,
53.580,,,,,,
53.688,,,,,,
53.797,,,,,,
53.905,,,,,,
54.014,,,,,,
54.122,,,,,,
54.231,,,,,,
54.339,,,,,,
54.448,,,,,,
54.556,,,,,,
54.665,,,,,,
54.773,,,,,,
54.882,,,,,,
54.990,,,,,,
55.098,,,,,,
55.207,,,,,,
55.315,,,,,,
55.424,-83.105,-83.105,15.439,10.917,119.181,-123.105
,-82.584,-82.584,14.397,10.180,103.637,-122.583
,-82.440,-82.440,14.110,9.977,99.546,-122.440
,-81.716,-81.716,12.661,8.953,80.150,-121.715
,-83.088,-83.088,15.406,10.894,118.672,-123.088
,-82.594,-82.594,14.417,10.194,103.925,-122.594
,-80.329,-80.329,9.887,6.991,48.876,-120.329
,-82.335,-82.335,13.899,9.828,96.591,-122.334
,-82.364,-82.364,13.957,9.869,97.399,-122.364
,-82.465,-82.465,14.160,10.013,100.253,-122.465
55.532,,,,,,
,-82.645,-82.645,14.520,10.267,105.415,-122.645
,-83.006,-83.006,15.241,10.777,116.144,-123.006
,-80.404,-80.404,10.037,7.097,50.371,-120.404
,-81.584,-81.584,12.398,8.767,76.855,-121.584
,-81.853,-81.853,12.937,9.148,83.683,-121.853
,-82.175,-82.175,13.581,9.603,92.222,-122.175
,-81.332,-81.332,11.893,8.410,70.722,-121.332
,-82.000,-82.000,13.230,9.355,87.516,-122.000
,-82.046,-82.046,13.322,9.420,88.738,-122.046
55.641,,,,,,
,-82.249,-82.249,13.727,9.706,94.215,-122.249
,-79.453,-79.453,8.135,5.752,33.089,-119.453
,-79.349,-79.349,7.928,5.606,31.427,-119.349
,-82.114,-82.114,13.458,9.516,90.559,-122.114
,-82.687,-82.687,14.604,10.327,106.638,-122.687
,-81.438,-81.438,12.106,8.560,73.278,-121.438
,-80.187,-80.187,9.604,6.791,46.118,-120.187
,-79.131,-79.131,7.492,5.298,28.065,-119.131
,-81.305,-81.305,11.840,8.372,70.093,-121.305
55.749,,,,,,
,-81.881,-81.881,12.992,9.187,84.396,-121.881
,-80.999,-80.999,11.227,7.939,63.023,-120.999
,-80.355,-80.355,9.939,7.028,49.392,-120.355
,-81.886,-81.886,13.001,9.193,84.513,-121.886
,-81.835,-81.835,12.901,9.122,83.218,-121.835
,-82.542,-82.542,14.314,10.122,102.445,-122.542
,-81.698,-81.698,12.627,8.929,79.721,-121.698
,-76.012,-76.012,1.254,0.887,0.786,-116.012
,-81.586,-81.586,12.402,8.770,76.905,-121.586
55.858,,,,,,
,-82.266,-82.266,13.761,9.730,94.683,-122.266
,-80.866,-80.866,10.962,7.751,60.083,-120.866
,-82.931,-82.931,15.093,10.672,113.899,-122.931
,-82.807,-82.807,14.844,10.496,110.172,-122.807
,-82.166,-82.166,13.563,9.590,91.977,-122.167
,-82.724,-82.724,14.677,10.378,107.707,-122.724
,-83.447,-83.447,16.123,11.401,129.976,-123.447
,-82.434,-82.434,14.098,9.969,99.377,-122.434
,-83.184,-83.184,15.599,11.030,121.664,-123.185
,-83.307,-83.307,15.844,11.203,125.516,-123.307
55.966,,,,,,
,-83.766,-83.766,16.761,11.852,140.466,-123.766
,-84.213,-84.213,17.656,12.485,155.867,-124.213
,-77.825,-77.825,4.879,3.450,11.902,-117.825
,-81.893,-81.893,13.015,9.203,84.695,-121.893
,-82.109,-82.109,13.449,9.510,90.438,-122.109
,-84.013,-84.013,17.256,12.202,148.885,-124.013
,-84.426,-84.426,18.082,12.786,163.479,-124.426
,-85.079,-85.079,19.388,13.709,187.947,-125.079
,-83.799,-83.799,16.828,11.899,141.591,-123.799
56.075,,,,,,
,-83.657,-83.657,16.545,11.699,136.869,-123.657
,-84.400,-84.400,18.031,12.750,162.558,-124.400
,-84.227,-84.227,17.684,12.504,156.362,-124.227
,-82.369,-82.369,13.967,9.876,97.539,-122.369
,-82.333,-82.333,13.896,9.826,96.549,-122.333
,-83.454,-83.454,16.137,11.411,130.201,-123.453
,-82.766,-82.766,14.762,10.438,108.958,-122.766
,-74.335,-74.335,2.100,1.485,2.205,-114.335
,-80.409,-80.409,10.047,7.104,50.471,-120.409
56.183,,,,,,
,-82.114,-82.114,13.457,9.516,90.545,-122.113
,-82.846,-82.846,14.921,10.551,111.318,-122.845
,-83.704,-83.704,16.639,11.766,138.428,-123.704
,-83.805,-83.805,16.841,11.908,141.810,-123.805
,-85.082,-85.082,19.394,13.714,188.064,-125.082
,-84.852,-84.852,18.934,13.388,179.248,-124.852
,-84.638,-84.638,18.505,13.085,171.218,-124.637
,-84.585,-84.585,18.399,13.010,169.262,-124.585
,-84.781,-84.781,18.792,13.288,176.570,-124.781
56.292,,,,,,
,-84.377,-84.377,17.985,12.717,161.730,-124.377
,-84.083,-84.083,17.396,12.301,151.310,-124.083
,-83.541,-83.541,16.313,11.535,133.057,-123.541
,-78.571,-78.571,6.371,4.505,20.295,-118.571
,-84.028,-84.028,17.285,12.222,149.386,-124.028
,-84.823,-84.823,18.877,13.348,178.171,-124.823
,-85.226,-85.226,19.681,13.917,193.671,-125.226
,-84.070,-84.070,17.369,12.282,150.841,-124.070
