Frequency_MHz,Power_dBm
50.000,-85.997
50.065,-84.484
50.130,-82.635
50.196,-88.199
50.261,-84.577
50.326,-83.577
50.391,-86.692
50.457,-82.186
50.522,-82.373
50.587,-83.745
50.652,-80.879
50.717,-81.110
50.783,-83.791
50.848,-83.638
50.913,-87.248
50.978,-86.037
51.043,-85.488
51.109,-84.120
51.174,-83.097
51.239,-80.518
51.304,-80.703
51.370,-84.291
51.435,-85.260
51.500,-84.230
51.565,-88.473
51.630,-84.695
51.696,-83.727
51.761,-82.793
51.826,-83.285
51.891,-87.515
51.957,-84.617
52.022,-86.515
52.087,-88.750
52.152,-81.202
52.217,-78.872
52.283,-79.936
52.348,-86.724
52.413,-83.397
52.478,-83.484
52.543,-84.040
52.609,-82.614
52.674,-79.999
52.739,-81.459
52.804,-80.018
52.870,-81.761
52.935,-83.096
53.000,-83.288
53.065,-82.978
53.130,-82.551
53.196,-80.715
53.261,-82.654
53.326,-81.615
53.391,-81.332
53.457,-82.896
53.522,-82.183
53.587,-84.141
53.652,-80.042
53.717,-75.231
53.783,-74.303
53.848,-78.539
53.913,-83.302
53.978,-83.909
54.043,-83.058
54.109,-84.755
54.174,-81.632
54.239,-85.053
54.304,-81.798
54.370,-83.035
54.435,-85.835
54.500,-84.282
54.565,-83.233
54.630,-86.327
54.696,-83.932
54.761,-85.260
54.826,-86.372
54.891,-86.938
54.957,-87.709
55.022,-85.278
55.087,-86.813
55.152,-88.526
55.217,-81.284
55.283,-79.690
55.348,-81.856
55.413,-85.486
55.478,-85.052
55.543,-83.297
55.609,-86.940
55.674,-88.329
55.739,-87.951
55.804,-87.314
55.870,-87.321
55.935,-87.087
56.000,-86.135
56.065,-88.351
56.130,-89.963
56.196,-88.310
56.261,-85.546
56.326,-90.176
56.391,-88.449
56.457,-89.506
56.522,-89.517
56.587,-89.465
56.652,-90.346
56.717,-82.439
56.783,-74.117
56.848,-73.776
56.913,-78.696
56.978,-86.849
57.043,-88.022
57.109,-88.501
57.174,-89.394
57.239,-86.145
57.304,-89.566
57.370,-89.754
57.435,-89.728
57.500,-91.186
57.565,-90.657
57.630,-91.839
57.696,-89.547
57.761,-88.320
57.826,-89.740
57.891,-87.202
57.957,-89.289
58.022,-88.637
58.087,-88.989
58.152,-87.802
58.217,-87.456
58.283,-84.487
58.348,-79.977
58.413,-80.243
58.478,-84.943
58.543,-88.670
58.609,-85.879
58.674,-88.076
58.739,-88.294
58.804,-88.124
58.870,-86.979
58.935,-89.049
59.000,-88.300
59.065,-87.763
59.130,-88.013
59.196,-85.109
59.261,-87.957
59.326,-84.558
59.391,-85.747
59.457,-86.388
59.522,-84.325
59.587,-86.329
59.652,-84.955
59.717,-85.897
59.783,-84.686
59.848,-77.666
59.913,-75.530
59.978,-80.120
60.043,-85.595
60.109,-86.075
60.174,-87.974
60.239,-88.779
60.304,-87.904
60.370,-85.625
60.435,-86.534
60.500,-86.678
60.565,-85.190
60.630,-86.436
60.696,-86.651
60.761,-85.306
60.826,-85.299
60.891,-83.851
60.957,-87.636
61.022,-85.852
61.087,-85.377
61.152,-87.718
61.217,-83.835
61.283,-84.841
61.348,-85.816
61.413,-81.227
61.478,-82.874
61.543,-83.496
61.609,-85.806
61.674,-83.003
61.739,-86.061
61.804,-84.814
61.870,-84.724
61.935,-85.011
62.000,-85.102
62.065,-85.358
62.130,-83.983
62.196,-85.116
62.261,-86.844
62.326,-84.873
62.391,-84.569
62.457,-85.073
62.522,-87.733
62.587,-84.644
62.652,-86.062
62.717,-87.907
62.783,-85.640
62.848,-85.991
62.913,-77.674
62.978,-76.795
63.043,-81.158
63.109,-85.459
63.174,-86.450
63.239,-87.739
63.304,-88.678
63.370,-89.270
63.435,-88.239
63.500,-92.357
63.565,-88.384
63.630,-89.821
63.696,-89.663
63.761,-90.610
63.826,-91.246
63.891,-90.312
63.957,-89.428
64.022,-90.834
64.087,-90.385
64.152,-90.407
64.217,-88.570
64.283,-87.586
64.348,-89.389
64.413,-88.059
64.478,-86.539
64.543,-86.758
64.609,-88.703
64.674,-87.491
64.739,-88.098
64.804,-86.663
64.870,-88.670
64.935,-88.413
65.000,-90.345
65.065,-84.704
65.130,-86.425
65.196,-86.790
65.261,-86.376
65.326,-87.404
65.391,-86.530
65.457,-85.149
65.522,-85.367
65.587,-86.285
65.652,-85.539
65.717,-84.628
65.783,-85.611
65.848,-84.691
65.913,-87.019
65.978,-79.631
66.043,-76.703
66.109,-80.639
66.174,-84.810
66.239,-86.223
66.304,-86.516
66.370,-87.221
66.435,-85.872
66.500,-87.970
66.565,-86.316
66.630,-87.102
66.696,-84.849
66.761,-87.154
66.826,-84.022
66.891,-85.987
66.957,-88.066
67.022,-90.057
67.087,-87.397
67.152,-87.180
67.217,-87.049
67.283,-84.780
67.348,-87.279
67.413,-86.697
67.478,-89.019
67.543,-86.481
67.609,-87.658
67.674,-87.769
67.739,-87.612
67.804,-88.975
67.870,-89.041
67.935,-91.916
68.000,-89.784
68.065,-89.534
68.130,-89.780
68.196,-91.637
68.261,-84.995
68.326,-86.787
68.391,-87.059
68.457,-88.827
68.522,-87.751
68.587,-88.362
68.652,-87.055
68.717,-84.806
68.783,-86.727
68.848,-84.553
68.913,-86.632
68.978,-87.118
69.043,-86.647
69.109,-85.039
69.174,-85.243
69.239,-86.985
69.304,-85.754
69.370,-85.888
69.435,-87.759
69.500,-84.612
69.565,-86.323
69.630,-86.010
69.696,-84.681
69.761,-88.453
69.826,-86.672
69.891,-85.271
69.957,-86.207
70.022,-84.271
70.087,-85.466
70.152,-84.770
70.217,-84.776
70.283,-85.078
70.348,-85.319
70.413,-84.362
70.478,-86.327
70.543,-84.907
70.609,-85.425
70.674,-87.022
70.739,-87.219
70.804,-86.717
70.870,-86.754
70.935,-86.176
71.000,-85.376
71.065,-86.410
71.130,-86.506
71.196,-86.442
71.261,-87.161
71.326,-86.701
71.391,-83.813
71.457,-84.476
71.522,-87.263
71.587,-83.928
71.652,-85.353
71.717,-85.785
71.783,-82.763
71.848,-82.784
71.913,-82.520
71.978,-81.635
72.043,-81.259
72.109,-81.281
72.174,-77.882
72.239,-81.638
72.304,-84.711
72.370,-83.334
72.435,-82.199
72.500,-84.824
72.565,-86.508
72.630,-84.363
72.696,-84.684
72.761,-81.968
72.826,-80.507
72.891,-83.397
72.957,-81.940
73.022,-82.803
73.087,-83.283
73.152,-86.024
73.217,-86.433
73.283,-86.456
73.348,-83.790
73.413,-86.329
73.478,-85.401
73.543,-88.839
73.609,-84.633
73.674,-79.563
73.739,-80.797
73.804,-85.804
73.870,-85.801
73.935,-85.307
74.000,-88.105
74.065,-85.495
74.130,-72.070
74.196,-62.832
74.261,-62.048
74.326,-68.489
74.391,-80.420
74.457,-89.133
74.522,-87.280
74.587,-88.552
74.652,-87.959
74.717,-86.878
74.783,-88.093
74.848,-83.891
74.913,-87.345
74.978,-86.424
75.043,-85.450
75.109,-84.881
75.174,-81.148
75.239,-74.262
75.304,-75.627
75.370,-83.616
75.435,-82.700
75.500,-82.187
75.565,-83.893
75.630,-83.904
75.696,-79.021
75.761,-75.913
75.826,-79.448
75.891,-80.730
75.957,-81.820
76.022,-82.819
76.087,-80.333
76.152,-80.251
76.217,-80.499
76.283,-81.565
76.348,-82.665
76.413,-80.757
76.478,-78.182
76.543,-83.918
76.609,-83.935
76.674,-80.834
76.739,-78.604
76.804,-75.320
76.870,-79.112
76.935,-80.611
77.000,-79.102
77.065,-80.238
77.130,-79.561
77.196,-82.103
77.261,-78.694
77.326,-78.371
77.391,-79.829
77.457,-81.966
77.522,-83.124
77.587,-81.128
77.652,-82.092
77.717,-81.559
77.783,-83.361
77.848,-82.808
77.913,-82.595
77.978,-85.050
78.043,-86.113
78.109,-83.256
78.174,-84.011
78.239,-81.859
78.304,-77.814
78.370,-79.433
78.435,-84.256
78.500,-80.490
78.565,-82.206
78.630,-81.870
78.696,-83.340
78.761,-87.254
78.826,-87.566
78.891,-87.687
78.957,-88.410
79.022,-88.144
79.087,-90.432
79.152,-89.900
79.217,-91.092
79.283,-91.657
79.348,-91.613
79.413,-91.538
79.478,-92.726
79.543,-91.327
79.609,-91.391
79.674,-92.021
79.739,-92.147
79.804,-84.958
79.870,-83.485
79.935,-86.116
80.000,-88.042
80.000,-87.840
80.065,-90.734
80.130,-93.520
80.196,-92.595
80.261,-92.195
80.326,-91.988
80.391,-92.928
80.457,-91.020
80.522,-90.800
80.587,-91.501
80.652,-91.984
80.717,-90.390
80.783,-90.948
80.848,-91.427
80.913,-89.457
80.978,-91.765
81.043,-89.707
81.109,-87.270
81.174,-88.766
81.239,-90.871
81.304,-86.686
81.370,-83.259
81.435,-82.965
81.500,-84.829
81.565,-87.567
81.630,-88.573
81.696,-87.705
81.761,-87.806
81.826,-88.501
81.891,-86.724
81.957,-88.337
82.022,-88.369
82.087,-85.763
82.152,-88.165
82.217,-89.384
82.283,-89.183
82.348,-90.051
82.413,-89.333
82.478,-88.902
82.543,-86.156
82.609,-87.843
82.674,-89.867
82.739,-88.369
82.804,-83.321
82.870,-82.557
82.935,-81.807
83.000,-85.545
83.065,-89.462
83.130,-88.973
83.196,-89.796
83.261,-88.394
83.326,-87.713
83.391,-88.936
83.457,-92.009
83.522,-89.857
83.587,-89.138
83.652,-87.096
83.717,-89.525
83.783,-91.108
83.848,-88.140
83.913,-85.129
83.978,-81.639
84.043,-82.131
84.109,-88.897
84.174,-92.209
84.239,-87.448
84.304,-89.549
84.370,-89.406
84.435,-86.177
84.500,-84.107
84.565,-90.918
84.630,-88.678
84.696,-91.052
84.761,-90.568
84.826,-90.063
84.891,-90.081
84.957,-90.151
85.022,-92.490
85.087,-90.201
85.152,-89.318
85.217,-90.019
85.283,-90.769
85.348,-89.119
85.413,-89.793
85.478,-88.222
85.543,-83.853
85.609,-77.644
85.674,-77.595
85.739,-84.827
85.804,-90.784
85.870,-87.650
85.935,-90.968
86.000,-87.637
86.065,-87.980
86.130,-86.976
86.196,-88.681
86.261,-90.221
86.326,-90.107
86.391,-89.535
86.457,-90.106
86.522,-88.163
86.587,-89.259
86.652,-89.907
86.717,-88.507
86.783,-89.541
86.848,-88.704
86.913,-87.858
86.978,-88.064
87.043,-83.657
87.109,-85.604
87.174,-84.096
87.239,-85.645
87.304,-87.732
87.370,-87.256
87.435,-86.934
87.500,-82.581
87.565,-83.393
87.630,-85.026
87.696,-87.741
87.761,-84.934
87.826,-88.938
87.891,-87.161
87.957,-87.182
88.022,-85.593
88.087,-87.876
88.152,-84.661
88.217,-85.742
88.283,-85.023
88.348,-86.506
88.413,-86.287
88.478,-82.138
88.543,-86.232
88.609,-85.354
88.674,-87.210
88.739,-85.239
88.804,-87.756
88.870,-88.494
88.935,-88.715
89.000,-85.307
89.065,-85.966
89.130,-85.720
89.196,-89.251
89.261,-91.542
89.326,-89.380
89.391,-88.728
89.457,-87.475
89.522,-86.761
89.587,-91.545
89.652,-92.308
89.717,-87.972
89.783,-85.982
89.848,-88.144
89.913,-88.363
89.978,-88.435
90.043,-90.216
90.109,-90.568
90.174,-91.482
90.239,-90.713
90.304,-88.689
90.370,-89.646
90.435,-90.789
90.500,-89.739
90.565,-91.788
90.630,-91.128
90.696,-90.798
90.761,-87.978
90.826,-91.826
90.891,-91.949
90.957,-89.276
91.022,-85.999
91.087,-83.015
91.152,-85.113
91.217,-84.607
91.283,-80.136
91.348,-85.212
91.413,-90.831
91.478,-90.162
91.543,-92.741
91.609,-91.595
91.674,-91.444
91.739,-85.367
91.804,-84.636
91.870,-90.663
91.935,-93.392
92.000,-91.867
92.065,-86.699
92.130,-84.870
92.196,-85.051
92.261,-87.529
92.326,-89.292
92.391,-90.790
92.457,-88.802
92.522,-89.809
92.587,-88.183
92.652,-89.816
92.717,-86.853
92.783,-86.246
92.848,-88.520
92.913,-89.893
92.978,-89.893
93.043,-89.601
93.109,-89.273
93.174,-89.892
93.239,-89.105
93.304,-91.457
93.370,-89.833
93.435,-89.430
93.500,-90.286
93.565,-91.315
93.630,-87.163
93.696,-86.583
93.761,-85.015
93.826,-88.537
93.891,-89.691
93.957,-86.315
94.022,-88.204
94.087,-83.474
94.152,-85.279
94.217,-89.643
94.283,-88.155
94.348,-88.382
94.413,-90.963
94.478,-90.534
94.543,-89.409
94.609,-90.780
94.674,-90.562
94.739,-90.196
94.804,-83.783
94.870,-77.825
94.935,-77.305
95.000,-82.020
95.065,-89.599
95.130,-90.713
95.196,-89.168
95.261,-90.738
95.326,-91.813
95.391,-91.681
95.457,-90.498
95.522,-89.133
95.587,-89.961
95.652,-91.454
95.717,-90.959
95.783,-92.078
95.848,-85.630
95.913,-85.110
95.978,-83.811
96.043,-88.791
96.109,-90.979
96.174,-92.777
96.239,-92.549
96.304,-91.496
96.370,-95.746
96.435,-91.074
96.500,-92.357
96.565,-92.724
96.630,-95.599
96.696,-94.477
96.761,-88.974
96.826,-92.658
96.891,-88.028
96.957,-86.095
97.022,-92.091
97.087,-94.283
97.152,-89.120
97.217,-85.328
97.283,-85.475
97.348,-84.891
97.413,-88.980
97.478,-91.600
97.543,-95.867
97.609,-91.899
97.674,-93.421
97.739,-95.208
97.804,-94.193
97.870,-93.728
97.935,-92.560
98.000,-87.657
98.065,-84.564
98.130,-84.807
98.196,-88.683
98.261,-82.425
98.326,-85.276
98.391,-89.832
98.457,-91.871
98.522,-92.329
98.587,-92.389
98.652,-94.365
98.717,-93.690
98.783,-94.170
98.848,-93.014
98.913,-90.015
98.978,-86.197
99.043,-83.887
99.109,-84.922
99.174,-84.915
99.239,-91.376
99.304,-91.963
99.370,-92.416
99.435,-92.287
99.500,-93.789
99.565,-92.785
99.630,-90.533
99.696,-89.053
99.761,-89.864
99.826,-81.695
99.891,-79.721
99.957,-81.579
100.022,-88.044
100.087,-88.465
100.152,-90.580
100.217,-89.723
100.283,-91.202
100.348,-93.856
100.413,-90.634
100.478,-91.465
