Frequency (Hz),Level (dBm)
500.00,-91.68
500.01,-96.74
500.02,-101.65
500.03,-101.50
500.04,-101.63
500.05,-94.67
500.07,-94.63
500.08,-101.79
500.09,-101.88
500.10,-101.81
500.11,-101.99
500.12,-99.68
500.13,-100.15
500.14,-101.83
500.15,-101.21
500.16,-100.96
500.17,-100.25
500.18,-98.99
500.20,-101.06
500.21,-102.47
500.22,-99.98
500.23,-99.17
500.24,-96.70
500.25,-95.54
500.26,-101.30
500.27,-99.72
500.28,-99.83
500.29,-99.93
500.30,-95.46
500.31,-95.14
500.33,-100.01
500.34,-102.46
500.35,-101.97
500.36,-100.38
500.37,-102.04
500.38,-102.11
500.39,-102.56
500.40,-102.81
500.41,-101.46
500.42,-102.48
500.43,-102.02
500.44,-102.62
500.46,-105.27
500.47,-103.65
500.48,-103.71
500.49,-103.75
500.50,-103.37
500.51,-103.85
500.52,-103.60
500.53,-103.79
500.54,-103.28
500.55,-103.66
500.56,-103.28
500.57,-105.00
500.59,-103.54
500.60,-103.42
500.61,-103.49
500.62,-100.39
500.63,-100.97
500.64,-102.25
500.65,-105.37
500.66,-104.04
500.67,-102.67
500.68,-101.93
500.69,-102.83
500.71,-104.41
500.72,-103.62
500.73,-101.89
500.74,-103.02
500.75,-103.51
500.76,-102.60
500.77,-105.11
500.78,-104.90
500.79,-104.84
500.80,-104.78
500.81,-103.10
500.82,-103.62
500.84,-103.15
500.85,-104.00
500.86,-104.45
500.87,-104.71
500.88,-102.84
500.89,-103.04
500.90,-103.74
500.91,-101.50
500.92,-101.52
500.93,-104.75
500.94,-104.03
500.95,-105.81
500.97,-104.48
500.98,-105.24
500.99,-103.08
501.00,-101.68
501.01,-103.39
501.02,-105.40
501.03,-102.10
501.04,-102.06
501.05,-103.65
501.06,-103.07
501.07,-101.54
501.08,-99.81
501.10,-102.33
501.11,-105.48
501.12,-103.21
501.13,-102.75
501.14,-103.87
501.15,-104.24
501.16,-103.80
501.17,-103.28
501.18,-103.01
501.19,-104.62
501.20,-103.87
501.21,-104.59
501.23,-104.33
501.24,-105.18
501.25,-105.40
501.26,-104.42
501.27,-103.54
501.28,-103.16
501.29,-103.97
501.30,-102.62
501.31,-100.34
501.32,-102.91
501.33,-101.92
501.35,-101.93
501.36,-101.41
501.37,-101.82
501.38,-101.52
501.39,-102.64
501.40,-102.55
501.41,-104.75
501.42,-100.89
501.43,-100.55
501.44,-101.63
501.45,-101.65
501.46,-105.28
501.48,-101.79
501.49,-100.92
501.50,-103.83
501.51,-102.83
501.52,-100.45
501.53,-101.43
501.54,-102.40
501.55,-103.86
501.56,-101.69
501.57,-101.54
501.58,-101.51
501.59,-101.77
501.61,-99.23
501.62,-99.58
501.63,-101.92
501.64,-100.53
501.65,-101.63
501.66,-102.67
501.67,-102.07
501.68,-101.75
501.69,-101.62
501.70,-101.58
501.71,-101.52
501.72,-101.09
501.74,-102.11
501.75,-101.47
501.76,-102.33
501.77,-99.83
501.78,-101.50
501.79,-100.99
501.80,-101.65
501.81,-100.92
501.82,-99.81
501.83,-99.87
501.84,-102.27
501.85,-101.91
501.87,-99.81
501.88,-96.62
501.89,-96.77
501.90,-96.80
501.91,-98.22
501.92,-99.74
501.93,-99.61
501.94,-98.38
501.95,-99.17
501.96,-99.43
501.97,-99.52
501.99,-97.23
502.00,-96.76
502.01,-97.11
502.02,-98.91
502.03,-96.64
502.04,-96.88
502.05,-98.74
502.06,-97.67
502.07,-97.83
502.08,-97.26
502.09,-96.33
502.10,-96.69
502.12,-96.67
502.13,-96.36
502.14,-97.53
502.15,-97.42
502.16,-97.42
502.17,-95.98
502.18,-99.92
502.19,-98.02
502.20,-98.08
502.21,-97.85
502.22,-96.97
502.23,-98.31
502.25,-99.20
502.26,-99.08
502.27,-97.80
502.28,-97.79
502.29,-100.38
502.30,-97.34
502.31,-97.09
502.32,-99.67
502.33,-101.36
502.34,-101.98
502.35,-103.28
502.36,-102.87
502.38,-100.72
502.39,-98.14
502.40,-98.44
502.41,-100.15
502.42,-100.82
502.43,-101.93
502.44,-101.57
502.45,-98.75
502.46,-98.77
502.47,-101.15
502.48,-100.71
502.50,-95.94
502.51,-95.18
502.52,-96.02
502.53,-96.49
502.54,-97.51
502.55,-97.52
502.56,-94.59
502.57,-90.84
502.58,-88.89
502.59,-91.59
502.60,-93.73
502.61,-94.34
502.63,-98.29
502.64,-99.09
502.65,-96.17
502.66,-97.29
502.67,-97.68
502.68,-101.08
502.69,-101.19
502.70,-99.65
502.71,-100.29
502.72,-103.45
502.73,-101.89
502.74,-100.89
502.76,-100.18
502.77,-101.93
502.78,-103.25
502.79,-101.22
502.80,-101.50
502.81,-101.47
502.82,-100.17
502.83,-101.59
502.84,-102.00
502.85,-101.18
502.86,-102.07
502.87,-101.05
502.89,-102.79
502.90,-99.28
502.91,-99.10
502.92,-100.58
502.93,-99.94
502.94,-100.24
502.95,-101.40
502.96,-99.70
502.97,-98.51
502.98,-96.55
502.99,-95.60
503.00,-94.80
503.02,-96.31
503.03,-96.29
503.04,-96.20
503.05,-94.47
503.06,-90.43
503.07,-88.72
503.08,-92.61
503.09,-96.54
503.10,-97.55
503.11,-98.00
503.12,-96.69
503.14,-97.26
503.15,-97.64
503.16,-97.09
503.17,-101.03
503.18,-102.64
503.19,-101.17
503.20,-100.71
503.21,-100.37
503.22,-101.90
503.23,-101.27
503.24,-100.42
503.25,-100.25
503.27,-104.29
503.28,-104.03
503.29,-102.98
503.30,-101.84
503.31,-101.12
503.32,-101.43
503.33,-102.31
503.34,-101.15
503.35,-100.82
503.36,-100.82
503.37,-100.45
503.38,-100.09
503.40,-100.42
503.41,-100.36
503.42,-100.88
503.43,-100.62
503.44,-103.67
503.45,-103.15
503.46,-101.79
503.47,-100.97
503.48,-99.13
503.49,-99.53
503.50,-99.65
503.51,-102.39
503.53,-102.49
503.54,-100.13
503.55,-94.72
503.56,-94.02
503.57,-100.21
503.58,-100.82
503.59,-100.59
503.60,-101.91
503.61,-100.80
503.62,-99.87
503.63,-102.17
503.64,-100.32
503.66,-100.61
503.67,-103.30
503.68,-102.07
503.69,-100.33
503.70,-101.18
503.71,-103.69
503.72,-101.29
503.73,-100.72
503.74,-102.14
503.75,-102.89
503.76,-99.63
503.78,-99.36
503.79,-97.64
503.80,-96.60
503.81,-94.77
503.82,-95.59
503.83,-96.12
503.84,-96.06
503.85,-98.78
