Frequency (MHz),Level (dBm)
50.000,-92.532
50.011,-91.259
50.022,-89.569
50.033,-93.074
50.043,-97.210
50.054,-95.784
50.065,-96.523
50.076,-95.371
50.087,-93.619
50.098,-97.275
50.108,-91.192
50.119,-89.816
50.130,-94.970
50.141,-95.773
50.152,-96.784
50.163,-94.688
50.174,-91.653
50.184,-91.182
50.195,-95.611
50.206,-90.782
50.217,-90.149
50.228,-95.900
50.239,-96.291
50.249,-98.104
50.260,-97.751
50.271,-95.008
50.282,-92.249
50.293,-94.247
50.304,-90.418
50.315,-90.477
50.325,-95.009
50.336,-98.120
50.347,-96.609
50.358,-95.864
50.369,-95.654
50.380,-96.601
50.391,-90.240
50.401,-88.676
50.412,-92.978
50.423,-98.977
50.434,-99.544
50.445,-95.893
50.456,-96.304
50.466,-96.052
50.477,-96.164
50.488,-91.787
50.499,-89.824
50.510,-92.636
50.521,-97.069
50.532,-95.723
50.542,-97.170
50.553,-98.223
50.564,-95.686
50.575,-97.061
50.586,-90.523
50.597,-90.298
50.607,-95.963
50.618,-96.577
50.629,-96.520
50.640,-98.770
50.651,-95.666
50.662,-93.195
50.673,-93.145
50.683,-81.936
50.694,-82.086
50.705,-95.879
50.716,-100.484
50.727,-100.780
50.738,-97.093
50.748,-94.626
50.759,-96.605
50.770,-94.769
50.781,-91.335
50.792,-91.671
50.803,-97.960
50.814,-97.657
50.824,-94.613
50.835,-92.851
50.846,-91.496
50.857,-96.465
50.868,-91.515
50.879,-91.117
50.890,-96.099
50.900,-98.227
50.911,-98.064
50.922,-98.288
50.933,-95.932
50.944,-95.781
50.955,-99.391
50.965,-94.364
50.976,-93.074
50.987,-95.005
50.998,-95.671
51.009,-97.343
51.020,-99.048
51.031,-95.317
51.041,-95.578
51.052,-98.626
51.063,-93.264
51.074,-92.381
51.085,-96.481
51.096,-99.615
51.106,-93.796
51.117,-94.366
51.128,-93.625
51.139,-95.941
51.150,-94.390
51.161,-92.656
51.172,-92.385
51.182,-95.778
51.193,-98.490
51.204,-94.751
51.215,-93.124
51.226,-92.609
