Frequency_MHz,Power_dBm
600.010,-89.896
600.118,-93.106
600.227,-97.824
600.335,-96.137
600.444,-95.710
600.552,-98.485
600.661,-97.488
600.769,-95.631
600.878,-97.315
600.986,-97.690
601.095,-96.173
601.203,-95.351
601.312,-95.845
601.420,-93.506
601.529,-96.882
601.637,-96.697
601.746,-95.723
601.854,-97.085
601.963,-95.340
602.071,-90.723
602.180,-90.625
602.288,-92.784
602.397,-94.840
602.505,-95.710
602.613,-96.372
602.722,-97.023
602.830,-94.101
602.939,-95.867
603.047,-93.578
603.156,-95.441
603.264,-94.984
603.373,-95.683
603.481,-94.043
603.590,-95.560
603.698,-97.298
603.807,-95.225
603.915,-96.757
604.024,-94.529
604.132,-95.784
604.241,-96.185
604.349,-96.241
604.458,-96.401
604.566,-95.344
604.675,-96.200
604.783,-95.650
604.892,-96.687
605.000,-97.822
605.108,-95.084
605.217,-96.273
605.325,-94.912
605.434,-93.481
605.542,-92.256
605.651,-93.308
605.759,-94.283
605.868,-95.822
605.976,-97.722
606.085,-96.346
606.193,-95.545
606.302,-95.826
606.410,-95.651
606.519,-95.530
606.627,-94.957
606.736,-95.858
606.844,-95.898
606.953,-96.014
607.061,-95.813
607.170,-95.795
607.278,-95.046
607.387,-97.537
607.495,-95.386
607.603,-94.907
607.712,-95.656
607.820,-94.543
607.929,-94.826
608.037,-97.452
608.146,-94.713
608.254,-97.018
608.363,-95.675
608.471,-95.284
608.580,-95.443
608.688,-95.579
608.797,-95.053
608.905,-94.389
609.014,-94.459
609.122,-95.807
609.231,-98.155
609.339,-95.869
609.448,-95.448
609.556,-95.404
609.665,-94.566
609.773,-94.781
609.882,-94.898
609.990,-96.072
610.098,-96.351
610.207,-95.495
610.315,-94.766
610.424,-94.187
610.532,-96.869
610.641,-94.683
610.749,-96.029
610.858,-96.327
610.966,-96.360
611.075,-95.549
611.183,-92.594
611.292,-93.303
611.400,-95.280
611.509,-96.331
611.617,-96.915
611.726,-96.321
611.834,-95.035
611.943,-96.494
612.051,-94.806
612.160,-97.843
612.268,-93.626
612.377,-97.377
612.485,-95.820
612.593,-95.306
612.702,-93.478
612.810,-94.917
612.919,-94.872
613.027,-97.008
613.136,-94.809
613.244,-96.393
613.353,-95.194
613.461,-96.522
613.570,-96.283
613.678,-92.660
613.787,-95.311
613.895,-94.860
614.004,-95.030
614.112,-94.966
614.221,-95.604
614.329,-93.288
614.438,-92.734
614.546,-94.072
614.655,-91.667
614.763,-92.626
614.872,-91.473
614.980,-93.799
615.088,-94.852
615.197,-90.450
615.305,-89.457
615.414,-87.874
615.522,-85.582
615.631,-85.332
615.739,-84.518
615.848,-75.493
615.956,-69.330
616.065,-72.027
616.173,-83.782
616.282,-85.532
616.390,-87.766
616.499,-88.853
616.607,-90.233
616.716,-92.612
616.824,-94.093
616.933,-89.734
617.041,-94.204
617.150,-93.807
617.258,-91.986
617.367,-93.595
617.475,-92.059
617.583,-92.193
617.692,-92.458
617.800,-92.887
617.909,-94.111
618.017,-94.334
618.126,-92.601
618.234,-93.625
618.343,-92.435
618.451,-92.256
618.560,-92.040
618.668,-93.111
618.777,-94.347
618.885,-94.393
618.994,-94.421
619.102,-94.469
619.211,-95.518
619.319,-94.050
619.428,-92.727
619.536,-95.981
619.645,-95.058
619.753,-94.924
619.862,-95.825
619.970,-94.228
620.078,-94.669
620.187,-94.383
620.295,-94.870
620.404,-94.547
620.512,-94.039
620.621,-96.282
620.729,-96.411
620.838,-94.501
620.946,-96.341
621.055,-95.073
621.163,-95.565
621.272,-94.680
621.380,-96.046
621.489,-94.613
621.597,-94.819
621.706,-94.142
621.814,-91.795
621.923,-93.389
622.031,-93.758
622.140,-94.299
622.248,-95.200
622.357,-94.358
622.465,-94.538
622.573,-93.921
622.682,-94.156
622.790,-95.647
622.899,-94.440
623.007,-93.422
623.116,-91.983
623.224,-96.776
623.333,-94.843
623.441,-95.513
623.550,-95.178
623.658,-96.908
623.767,-95.400
623.875,-96.738
623.984,-95.237
624.092,-94.571
624.201,-94.070
624.309,-95.134
624.418,-95.219
624.526,-94.487
624.635,-96.452
624.743,-92.885
624.852,-95.281
624.960,-96.032
625.068,-94.001
625.177,-95.965
625.285,-95.129
625.394,-94.113
625.502,-95.071
625.611,-93.024
625.719,-95.245
625.828,-94.011
625.936,-92.906
626.045,-94.851
626.153,-94.846
626.262,-95.740
626.370,-95.034
626.479,-96.019
626.587,-94.279
626.696,-93.262
626.804,-94.859
626.913,-97.204
627.021,-95.592
627.130,-94.297
627.238,-93.618
627.347,-91.965
627.455,-93.941
627.563,-94.582
627.672,-95.245
627.780,-93.745
627.889,-92.774
627.997,-93.816
628.106,-94.923
628.214,-93.664
628.323,-93.691
628.431,-93.584
628.540,-92.679
628.648,-91.768
628.757,-90.442
628.865,-95.266
628.974,-96.052
629.082,-96.274
629.191,-95.833
629.299,-96.022
629.408,-95.744
629.516,-93.704
629.625,-93.165
629.733,-94.132
629.842,-92.482
629.950,-92.669
630.058,-93.242
630.167,-94.256
630.275,-93.643
630.384,-94.795
630.492,-94.378
630.601,-94.658
630.709,-96.734
630.818,-94.703
630.926,-95.032
631.035,-95.191
631.143,-94.720
631.252,-93.829
631.360,-95.503
631.469,-92.752
631.577,-92.845
631.686,-92.801
631.794,-96.517
631.903,-94.661
632.011,-96.226
632.120,-95.667
632.228,-95.587
632.337,-94.315
632.445,-97.191
632.553,-95.623
632.662,-95.301
632.770,-97.115
632.879,-95.540
632.987,-97.275
633.096,-96.730
633.204,-95.840
633.313,-95.169
633.421,-96.867
633.530,-97.483
633.638,-98.010
633.747,-97.257
633.855,-95.740
633.964,-95.555
634.072,-97.454
634.181,-95.983
634.289,-90.772
634.398,-92.240
634.506,-94.454
634.615,-97.055
634.723,-97.024
634.832,-97.274
634.940,-97.047
635.048,-97.964
635.157,-98.480
635.265,-97.282
635.374,-96.656
635.482,-97.659
635.591,-96.559
635.699,-96.547
635.808,-96.641
635.916,-95.562
636.025,-96.498
636.133,-96.593
636.242,-97.019
636.350,-97.996
636.459,-96.461
636.567,-96.435
636.676,-97.250
636.784,-95.117
636.893,-97.172
637.001,-97.020
637.110,-95.104
637.218,-95.858
637.327,-94.212
637.435,-86.989
637.543,-86.754
637.652,-86.443
637.760,-85.458
637.869,-88.562
637.977,-87.525
638.086,-85.224
638.194,-90.838
638.303,-88.052
638.411,-88.527
638.520,-87.099
638.628,-89.535
638.737,-87.766
638.845,-85.478
638.954,-90.526
639.062,-89.835
639.171,-87.705
639.279,-87.794
639.388,-88.469
639.496,-86.217
639.605,-85.960
639.713,-87.230
639.822,-89.517
639.930,-88.086
640.038,-85.719
640.147,-86.275
640.255,-89.637
640.364,-89.123
640.472,-92.084
640.581,-90.954
640.689,-88.063
640.798,-89.508
640.906,-90.172
641.015,-91.888
641.123,-90.796
641.232,-88.597
641.340,-91.080
641.449,-90.253
641.557,-90.866
641.666,-93.054
641.774,-91.250
641.883,-92.336
641.991,-93.591
642.100,-92.717
642.208,-92.637
642.317,-90.312
642.425,-90.651
642.533,-93.920
642.642,-90.105
642.750,-93.474
642.859,-90.841
642.967,-89.173
643.076,-89.573
643.184,-92.087
643.293,-92.456
643.401,-92.218
643.510,-91.790
643.618,-90.303
643.727,-92.198
643.835,-90.536
643.944,-90.183
644.052,-91.103
644.161,-87.830
644.269,-86.646
644.378,-87.400
644.486,-89.560
644.595,-91.100
644.703,-89.177
644.812,-92.713
644.920,-92.406
645.028,-89.267
645.137,-89.189
645.245,-91.741
645.354,-90.920
645.462,-90.357
645.571,-87.600
645.679,-87.719
645.788,-90.793
645.896,-89.736
646.005,-88.960
646.113,-89.498
646.222,-88.085
646.330,-88.260
646.439,-88.764
646.547,-90.070
646.656,-88.355
646.764,-87.748
646.873,-89.028
646.981,-86.722
647.090,-89.233
647.198,-89.990
647.307,-87.740
647.415,-89.116
647.523,-89.107
647.632,-89.142
647.740,-91.090
647.849,-86.741
647.957,-85.785
648.066,-88.924
648.174,-84.667
648.283,-88.779
648.391,-85.897
648.500,-87.894
648.608,-89.359
648.717,-83.371
648.825,-86.095
648.934,-85.078
649.042,-89.389
649.151,-85.575
649.259,-84.156
649.368,-85.201
649.476,-84.240
649.585,-85.949
649.693,-86.150
649.802,-82.260
649.910,-83.528
649.910,-83.513
650.018,-87.836
650.127,-84.311
650.235,-82.964
650.344,-81.253
650.452,-86.232
650.561,-82.266
650.669,-83.683
650.778,-85.392
650.886,-83.490
650.995,-89.505
651.103,-93.891
651.212,-90.268
651.320,-90.050
651.429,-89.908
651.537,-90.178
