Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
50.000,-95.656,-96.090,20.849,3.089,9.544,-135.656
50.011,-95.909,-95.996,21.248,2.779,7.725,-135.909
50.022,-96.330,-96.599,20.962,2.940,8.646,-136.330
50.033,-97.892,-97.887,24.852,3.690,13.618,-137.892
50.043,-97.343,-97.635,23.662,3.386,11.462,-137.343
50.054,-96.942,-97.461,21.042,2.992,8.952,-136.942
50.065,-96.673,-97.148,20.728,3.028,9.169,-136.673
50.076,-96.555,-96.866,21.460,2.851,8.125,-136.555
50.087,-96.693,-96.861,22.400,3.045,9.272,-136.693
50.098,-96.444,-96.492,22.870,3.039,9.235,-136.444
50.108,-96.283,-96.552,21.890,2.858,8.165,-136.283
50.119,-96.168,-96.553,21.410,3.106,9.645,-136.168
50.130,-97.332,-97.798,23.140,3.424,11.726,-137.332
50.141,-96.978,-97.168,21.046,3.050,9.301,-136.978
50.152,-96.835,-97.107,21.288,2.877,8.275,-136.835
50.163,-97.000,-97.127,21.793,3.003,9.020,-137.000
50.174,-96.868,-97.052,22.400,2.853,8.142,-136.868
50.184,-97.266,-97.468,23.088,3.218,10.358,-137.266
50.195,-96.870,-97.260,23.261,3.045,9.271,-136.870
50.206,-96.378,-96.756,19.492,2.784,7.752,-136.378
50.217,-97.236,-97.335,21.034,3.068,9.411,-137.236
50.228,-97.682,-97.971,21.438,3.198,10.230,-137.682
50.239,-96.328,-96.404,19.258,2.715,7.372,-136.328
50.249,-97.298,-97.876,20.955,2.981,8.886,-137.298
50.260,-97.200,-97.465,21.083,2.988,8.929,-137.200
50.271,-96.693,-96.953,20.622,2.856,8.157,-136.693
50.282,-96.295,-96.328,20.394,2.920,8.527,-136.295
50.293,-96.449,-96.840,20.351,2.850,8.120,-136.449
50.304,-95.961,-96.315,18.958,2.784,7.753,-135.961
50.315,-97.838,-97.808,23.147,3.406,11.599,-137.838
50.325,-97.871,-98.120,23.391,3.256,10.603,-137.871
50.336,-98.029,-98.295,22.134,3.207,10.287,-138.029
50.347,-97.761,-98.420,22.188,3.328,11.077,-137.761
50.358,-97.155,-97.680,22.874,3.205,10.269,-137.155
50.369,-97.199,-97.372,21.225,3.153,9.942,-137.199
50.380,-97.424,-97.818,22.022,3.051,9.308,-137.424
50.391,-96.917,-97.292,20.810,2.968,8.812,-136.917
50.401,-96.661,-96.800,21.094,3.030,9.183,-136.661
50.412,-97.372,-97.566,21.819,3.401,11.567,-137.372
50.423,-94.913,-95.433,18.084,2.541,6.457,-134.913
50.434,-95.933,-96.416,18.425,2.665,7.104,-135.933
50.445,-97.163,-97.602,21.324,2.918,8.516,-137.163
50.456,-95.183,-95.402,18.355,2.606,6.791,-135.183
50.466,-96.381,-96.648,20.710,2.865,8.211,-136.381
50.477,-97.314,-97.888,20.259,2.965,8.792,-137.314
50.488,-96.750,-97.192,22.117,2.914,8.493,-136.750
50.499,-96.624,-97.106,21.187,2.898,8.396,-136.624
50.510,-98.311,-98.621,22.572,3.258,10.618,-138.311
50.521,-97.836,-98.120,22.503,3.158,9.971,-137.836
50.532,-98.150,-98.745,21.834,3.187,10.157,-138.150
50.542,-96.060,-96.507,20.380,2.816,7.932,-136.060
50.553,-96.002,-96.455,19.739,2.899,8.405,-136.002
50.564,-97.959,-98.520,22.762,3.354,11.249,-137.959
50.575,-97.843,-98.457,21.506,3.231,10.440,-137.843
50.586,-96.774,-97.074,20.317,3.100,9.611,-136.774
50.597,-96.708,-96.804,20.629,3.234,10.461,-136.708
50.607,-97.691,-98.031,22.032,3.546,12.577,-137.691
50.618,-98.087,-98.522,21.429,3.453,11.925,-138.087
50.629,-98.503,-99.438,22.567,3.766,14.181,-138.503
50.640,-98.056,-98.774,24.336,3.833,14.688,-138.056
50.651,-98.056,-98.599,23.350,3.798,14.421,-138.056
50.662,-96.442,-96.816,19.982,3.355,11.255,-136.442
50.673,-94.619,-95.251,18.085,2.817,7.934,-134.619
50.683,-85.679,-85.677,6.692,0.914,0.835,-125.679
50.694,-85.752,-85.800,6.754,0.913,0.834,-125.752
50.705,-96.609,-97.215,19.822,2.983,8.897,-136.609
50.716,-98.805,-99.311,22.797,3.427,11.742,-138.805
50.727,-98.965,-99.633,22.219,3.400,11.562,-138.965
50.738,-98.496,-98.981,22.283,3.316,10.995,-138.496
50.748,-98.751,-99.251,22.690,3.350,11.219,-138.751
50.759,-98.272,-98.450,23.951,3.424,11.722,-138.272
50.770,-97.682,-97.959,21.563,3.130,9.800,-137.682
50.781,-96.709,-97.029,20.071,2.950,8.701,-136.709
50.792,-96.804,-97.394,20.391,2.896,8.388,-136.804
50.803,-98.409,-98.899,21.328,3.167,10.027,-138.409
50.814,-99.146,-99.571,22.408,3.315,10.990,-139.146
50.824,-98.634,-99.308,22.479,3.342,11.172,-138.634
50.835,-97.794,-98.418,21.972,3.210,10.307,-137.794
50.846,-98.195,-99.018,23.302,3.325,11.058,-138.195
50.857,-97.828,-98.409,22.127,3.233,10.452,-137.828
50.868,-98.388,-98.970,22.594,3.323,11.043,-138.388
50.879,-97.158,-97.644,20.775,2.992,8.949,-137.158
50.890,-97.602,-97.849,21.307,3.086,9.522,-137.602
50.900,-98.642,-99.042,23.604,3.416,11.667,-138.642
50.911,-99.556,-100.202,23.553,3.495,12.217,-139.556
50.922,-99.042,-99.774,22.190,3.352,11.234,-139.042
50.933,-98.817,-99.421,23.425,3.377,11.403,-138.817
50.944,-98.544,-98.944,22.594,3.429,11.758,-138.544
50.955,-98.340,-98.743,22.640,3.370,11.356,-138.340
50.965,-98.332,-98.684,22.641,3.351,11.230,-138.332
50.976,-97.655,-98.269,20.638,3.163,10.004,-137.655
50.987,-98.959,-99.374,22.505,3.407,11.608,-138.959
50.998,-97.677,-98.278,20.798,2.949,8.700,-137.677
51.009,-96.800,-97.365,19.154,2.777,7.714,-136.800
51.020,-95.568,-95.495,21.004,3.164,10.014,-135.568
51.031,-95.123,-95.105,20.815,2.966,8.794,-135.123
51.041,-96.863,-97.125,21.171,3.036,9.219,-136.863
51.052,-98.503,-98.605,22.605,3.238,10.486,-138.503
51.063,-96.704,-97.239,21.450,3.044,9.263,-136.704
51.074,-96.728,-97.480,20.071,2.948,8.689,-136.728
51.085,-98.490,-98.753,23.249,3.344,11.181,-138.490
51.096,-98.772,-99.206,23.583,3.351,11.229,-138.772
51.106,-99.166,-99.587,23.113,3.330,11.086,-139.166
51.117,-97.657,-98.218,21.605,3.046,9.275,-137.657
51.128,-95.918,-96.327,18.746,2.796,7.819,-135.918
51.139,-97.257,-97.674,21.249,3.054,9.325,-137.257
51.150,-98.079,-98.404,21.507,3.211,10.308,-138.079
51.161,-98.580,-99.026,22.356,3.284,10.787,-138.580
51.172,-98.830,-99.517,22.055,3.234,10.457,-138.830
51.182,-98.941,-99.147,22.618,3.374,11.387,-138.941
51.193,-98.662,-99.085,22.628,3.217,10.346,-138.662
51.204,-97.991,-98.287,21.802,3.190,10.174,-137.991
51.215,-95.324,-96.173,17.641,2.800,7.842,-135.324
51.226,-95.693,-96.559,19.203,2.974,8.842,-135.693
51.237,-98.409,-99.162,22.430,3.512,12.334,-138.409
51.248,-98.399,-99.058,21.571,3.324,11.047,-138.399
51.258,-97.776,-98.103,21.892,3.448,11.886,-137.776
51.269,-97.668,-97.670,23.397,3.465,12.004,-137.668
51.280,-96.296,-96.961,19.291,3.024,9.146,-136.296
51.291,-95.547,-96.241,17.928,2.861,8.184,-135.547
51.302,-96.970,-97.447,21.071,3.663,13.420,-136.970
51.313,-97.599,-98.511,22.435,3.847,14.802,-137.599
51.323,-97.583,-98.133,21.519,3.419,11.692,-137.583
51.334,-95.098,-95.690,19.164,2.990,8.943,-135.098
51.345,-94.688,-95.169,19.176,2.846,8.097,-134.688
51.356,-98.307,-98.739,23.365,3.626,13.148,-138.307
51.367,-98.860,-99.724,23.191,3.707,13.739,-138.860
51.378,-98.194,-98.895,22.260,3.531,12.471,-138.194
51.389,-98.253,-99.118,22.148,3.590,12.890,-138.253
51.399,-98.667,-99.303,23.160,3.436,11.807,-138.667
51.410,-98.628,-99.237,23.653,3.527,12.437,-138.628
51.421,-98.974,-99.589,23.224,3.427,11.742,-138.974
51.432,-99.367,-99.803,23.212,3.450,11.902,-139.367
51.443,-98.612,-99.238,23.123,3.542,12.545,-138.612
51.454,-98.962,-99.491,24.119,3.640,13.251,-138.962
51.464,-99.206,-99.758,23.434,3.352,11.237,-139.206
51.475,-99.410,-100.142,23.259,3.371,11.363,-139.410
51.486,-99.607,-99.904,24.555,3.488,12.164,-139.607
51.497,-98.936,-99.406,23.050,3.235,10.467,-138.936
51.508,-98.345,-98.860,22.877,3.257,10.607,-138.345
51.519,-98.950,-99.161,24.222,3.343,11.175,-138.950
51.530,-99.452,-99.827,23.373,3.355,11.253,-139.452
51.540,-99.477,-100.069,23.452,3.444,11.864,-139.477
51.551,-98.552,-99.143,22.218,3.251,10.568,-138.552
