ZONE,GROUP,DEVICE,NAME,FREQ
Parking Lot   East and West Stage,CFTO,Lectro Standard Block 22,'0/0,563.2
Parking Lot   East and West Stage,CP24 IFB,Lectro Standard Block 23,CP24 IFB 14,594.9
Parking Lot   East and West Stage,CP24 IFB,Lectro Standard Block 23,IFB 17 CP24 Patio,601.0
Parking Lot   East and West Stage,CP24 IFB,Lectro Standard Block 27,CP24 IFB 18  Patio,692.1
Parking Lot   East and West Stage,EAST STAGE  Camila Cabello Senn  HH  470-558,Sennheiser EM9046 A2,NAME GOES HERE,496.075
Parking Lot   East and West Stage,EAST STAGE  Camila Cabello Senn  HH  470-558,Sennheiser EM9046 A2,NAME GOES HERE,516.375
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,640.025
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,642.45
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,661.675
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,662.825
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,665.0
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure  IEM  626-698,Shure PSM-1000 L8,NAME GOES HERE,667.35
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure HH 518-578,Shure UHF-R H4,NAME GOES HERE,519.15
Parking Lot   East and West Stage,EAST STAGE  Imagine Dragons Shure HH 518-578,Shure UHF-R H4,NAME GOES HERE,522.375
Parking Lot   East and West Stage,EAST STAGE  Niall Horan Shure Instru 606-666,Shure UHF-R K4E,NAME GOES HERE,615.125
Parking Lot   East and West Stage,EAST STAGE  Niall Horan Shure Instru 606-666,Shure UHF-R K4E,NAME GOES HERE,616.55
Parking Lot   East and West Stage,EAST STAGE  Niall Horan Shure Instru 606-666,Shure UHF-R K4E,NAME GOES HERE,618.4
Parking Lot   East and West Stage,EAST STAGE  Niall Horan Shure Instru 606-666,Shure UHF-R K4E,NAME GOES HERE,623.6
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,471.8
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,472.825
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,473.2
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,474.025
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,475.375
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,481.975
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,484.225
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,486.3
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,487.95
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,488.825
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,NAME GOES HERE,489.3
Parking Lot   East and West Stage,EAST STAGE  Shure PSM-1000 IEM 470-542,Shure PSM-1000 G10,',490.9
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,492.775
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,499.025
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,512.6
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,514.35
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,515.45
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,517.05
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,524.7
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,525.375
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,526.625
Parking Lot   East and West Stage,EAST STAGE  Shure UHR-G1 HH 470-530,Shure UHF-R G1,NAME GOES HERE,528.175
Parking Lot   East and West Stage,EAST STAGE Iggy Azalea Senn HH  614.075-697.795,Shure UHF-R G1,',528.65
Parking Lot   East and West Stage,EAST STAGE Iggy Azalea Senn HH  614.075-697.795,Sennheiser EM3732-II L,NAME GOES HERE,615.675
Parking Lot   East and West Stage,EAST STAGE Iggy Azalea Senn HH  614.075-697.795,Sennheiser EM3732-II L,',621.825
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',579.475
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',580.725
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',581.075
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',581.575
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',582.95
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',583.425
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',616.05
Parking Lot   East and West Stage,EAST STAGE Imagine Dragons Shure Instru 572-636,Shure ULXD4 J50,',619.95
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'4/0,544.0
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'4/A,545.0
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'6/A,548.2
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'9/A,553.0
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'A/9,554.5
Parking Lot   East and West Stage,General Audio,Lectrosonics 100 KHz Block 21,'A/F,555.1
