Frequency (Hz),Level (dBm)
50.00,-88.10
50.01,-90.80
50.02,-94.03
50.03,-89.48
50.04,-93.39
50.05,-88.27
50.06,-92.04
50.07,-90.16
50.08,-85.45
50.09,-92.09
50.10,-95.16
50.11,-93.65
50.12,-88.45
50.13,-92.86
50.14,-92.64
50.15,-95.70
50.16,-91.05
50.17,-91.45
50.18,-89.54
50.19,-90.22
50.20,-92.17
50.21,-98.12
50.22,-95.09
50.23,-90.86
50.24,-96.64
50.25,-92.14
50.26,-96.76
50.27,-89.18
50.28,-88.95
50.29,-89.59
50.30,-90.35
50.31,-87.10
50.32,-87.15
50.33,-90.73
50.34,-95.83
50.35,-88.12
50.36,-94.63
50.37,-88.08
50.38,-88.56
50.39,-92.05
50.40,-94.65
50.41,-91.92
50.42,-91.05
50.43,-91.85
50.44,-92.95
50.45,-90.49
50.46,-90.99
50.47,-87.36
50.48,-96.06
50.49,-96.04
50.50,-95.80
50.51,-91.26
50.52,-98.66
50.53,-91.97
50.54,-93.36
50.55,-89.54
50.56,-94.25
50.57,-91.02
50.58,-91.60
50.59,-86.82
50.60,-84.96
50.61,-87.95
50.62,-87.86
50.63,-86.20
50.64,-85.84
50.65,-85.60
50.66,-82.25
50.67,-91.41
50.68,-84.03
50.69,-83.44
50.70,-86.11
50.71,-82.57
50.72,-85.96
50.73,-83.70
50.74,-87.92
50.75,-91.05
50.76,-88.27
50.77,-89.83
50.78,-90.06
50.79,-87.24
50.80,-90.90
50.81,-86.42
50.82,-89.76
50.83,-95.63
50.84,-90.94
50.85,-91.27
50.86,-92.22
50.87,-93.36
50.88,-89.95
50.89,-96.98
50.90,-88.69
50.91,-98.22
50.92,-95.86
50.93,-89.20
50.94,-97.95
50.95,-91.81
50.96,-93.40
50.97,-94.93
50.98,-91.26
50.99,-94.33
51.00,-95.24
51.01,-88.41
51.02,-98.54
51.03,-95.46
51.04,-98.09
51.05,-92.90
51.06,-94.70
51.07,-91.92
51.08,-92.96
51.09,-87.81
51.10,-87.94
51.11,-91.79
51.12,-92.19
51.13,-92.47
51.14,-88.18
51.15,-87.58
51.16,-92.46
51.17,-93.13
51.18,-97.92
51.19,-89.93
51.20,-90.53
51.21,-88.32
51.22,-91.13
51.23,-88.84
51.24,-89.51
51.25,-86.13
51.26,-84.83
51.27,-84.76
51.28,-89.61
51.29,-85.41
51.30,-85.24
51.31,-86.02
51.32,-90.11
51.33,-83.92
51.34,-88.18
51.35,-87.72
51.36,-89.72
51.37,-89.84
51.38,-88.87
51.39,-90.27
51.40,-91.88
51.41,-96.86
51.42,-92.96
51.43,-93.75
51.44,-94.80
51.45,-98.93
51.46,-91.56
51.47,-89.36
51.48,-93.34
51.49,-89.04
51.50,-89.99
51.51,-90.29
51.52,-95.81
51.53,-92.29
51.54,-93.04
51.55,-88.59
51.56,-94.16
51.57,-92.59
51.58,-94.57
51.59,-96.14
51.60,-95.22
51.61,-94.00
51.62,-98.38
51.63,-96.36
51.64,-86.30
51.65,-92.40
51.66,-93.22
51.67,-97.74
51.68,-91.51
51.69,-94.98
51.70,-92.52
51.71,-90.66
51.72,-93.83
51.73,-94.60
51.74,-88.68
51.75,-88.10
51.76,-90.58
51.77,-93.36
51.78,-95.62
51.79,-89.46
51.80,-90.93
51.81,-88.89
51.82,-91.22
51.83,-93.24
51.84,-91.26
51.85,-94.95
51.86,-94.79
51.87,-97.19
51.88,-87.44
51.89,-90.75
51.90,-88.89
51.91,-92.25
51.92,-95.81
51.93,-89.11
51.94,-91.20
51.95,-87.83
