Frequency (Hz),Level (dBm)
50.00,-81.86
50.11,-83.01
50.22,-81.84
50.33,-81.90
50.43,-84.00
50.54,-83.40
50.65,-79.83
50.76,-82.20
50.87,-83.41
50.98,-84.42
51.08,-85.15
51.19,-83.06
51.30,-80.75
51.41,-84.46
51.52,-85.81
51.63,-83.57
51.74,-84.68
51.84,-85.95
51.95,-83.89
52.06,-83.57
52.17,-80.61
52.28,-82.53
52.39,-82.92
52.49,-84.13
52.60,-81.65
52.71,-81.51
52.82,-80.83
52.93,-84.19
53.04,-83.13
53.15,-82.86
53.25,-82.24
53.36,-82.28
53.47,-84.04
53.58,-80.39
53.69,-79.37
53.80,-77.81
53.91,-81.31
54.01,-84.23
54.12,-82.28
54.23,-84.05
54.34,-84.51
54.45,-84.37
54.56,-84.81
54.66,-85.33
54.77,-85.26
54.88,-84.78
54.99,-84.31
55.10,-84.86
55.21,-83.14
55.32,-82.75
55.42,-84.43
55.53,-86.04
55.64,-83.99
55.75,-86.58
55.86,-86.11
55.97,-86.83
56.07,-86.23
56.18,-86.17
56.29,-86.48
56.40,-85.90
56.51,-82.99
56.62,-87.14
56.73,-82.05
56.83,-78.81
56.94,-81.17
57.05,-86.01
57.16,-85.78
57.27,-85.80
57.38,-85.26
57.48,-84.91
57.59,-85.12
57.70,-85.45
57.81,-86.40
57.92,-84.98
58.03,-86.58
58.14,-83.93
58.24,-81.56
58.35,-78.12
58.46,-80.90
58.57,-83.44
58.68,-85.50
58.79,-84.67
58.90,-84.64
59.00,-86.24
59.11,-85.07
59.22,-81.27
59.33,-84.86
59.44,-85.37
59.55,-83.27
59.65,-82.49
59.76,-81.98
59.87,-78.06
59.98,-80.36
60.09,-84.33
60.20,-83.10
60.31,-82.45
60.41,-83.28
60.52,-84.00
60.63,-84.41
60.74,-82.68
60.85,-82.95
60.96,-83.14
61.06,-83.51
61.17,-81.37
61.28,-83.05
61.39,-79.56
61.50,-79.98
61.61,-81.93
61.72,-81.08
61.82,-81.66
61.93,-82.28
62.04,-82.89
62.15,-81.44
62.26,-81.42
62.37,-81.21
62.48,-81.03
62.58,-81.43
62.69,-81.60
62.80,-81.69
62.91,-78.95
63.02,-79.08
63.13,-83.22
63.23,-84.19
63.34,-82.87
63.45,-83.70
63.56,-84.76
63.67,-83.85
63.78,-83.92
63.89,-84.97
63.99,-85.39
64.10,-85.45
64.21,-84.08
64.32,-85.75
64.43,-84.50
64.54,-83.17
64.64,-84.73
64.75,-85.19
64.86,-87.14
64.97,-83.87
65.08,-86.75
65.19,-86.76
65.30,-84.41
65.40,-85.68
65.51,-85.13
65.62,-85.42
65.73,-83.95
65.84,-82.80
65.95,-81.53
66.05,-80.75
66.16,-83.29
66.27,-86.16
66.38,-86.37
66.49,-84.21
66.60,-84.45
66.71,-85.22
66.81,-83.58
66.92,-84.18
67.03,-86.14
67.14,-83.99
67.25,-83.63
67.36,-84.77
67.47,-82.72
67.57,-83.20
67.68,-83.40
67.79,-82.04
67.90,-83.47
68.01,-82.11
68.12,-83.70
68.22,-83.11
68.33,-81.16
68.44,-83.75
68.55,-81.71
68.66,-82.90
68.77,-82.72
68.88,-83.46
68.98,-83.39
69.09,-81.78
69.20,-82.43
69.31,-81.50
69.42,-80.99
69.53,-83.93
69.63,-83.23
69.74,-82.73
69.85,-82.10
69.96,-83.92
70.07,-83.00
70.18,-83.13
70.29,-83.25
70.39,-84.39
70.50,-84.44
70.61,-83.11
70.72,-83.07
70.83,-84.24
70.94,-84.80
71.04,-83.95
71.15,-84.71
71.26,-83.35
71.37,-84.67
71.48,-83.05
71.59,-84.66
71.70,-83.97
71.80,-84.24
71.91,-83.66
72.02,-82.51
72.13,-82.81
72.24,-80.62
72.35,-85.82
72.45,-82.14
72.56,-85.02
72.67,-84.53
72.78,-83.22
72.89,-84.02
73.00,-83.01
73.11,-82.93
73.21,-83.98
73.32,-83.51
73.43,-85.38
73.54,-86.02
73.65,-82.12
73.76,-82.00
73.87,-84.03
73.97,-84.28
74.08,-79.03
74.19,-66.17
74.30,-66.68
74.41,-80.00
74.52,-84.44
74.62,-85.00
74.73,-86.59
74.84,-82.27
74.95,-84.89
75.06,-83.31
75.17,-80.50
75.28,-77.48
75.38,-81.27
75.49,-82.83
75.60,-80.73
