Frequency (Hz),Level (dBm)
50.00,-89.59
50.04,-86.46
50.08,-89.26
50.12,-86.31
50.16,-86.18
50.20,-92.91
50.24,-90.86
50.28,-90.95
50.32,-90.15
50.36,-90.41
50.40,-90.52
50.44,-90.01
50.48,-89.20
50.52,-88.18
50.56,-88.55
50.60,-88.90
50.64,-88.62
50.68,-82.39
50.72,-82.87
50.76,-91.58
50.80,-90.04
50.84,-90.95
50.88,-89.64
50.92,-91.12
50.96,-88.78
51.00,-88.73
51.04,-91.29
51.08,-87.39
51.12,-89.93
51.16,-87.98
51.20,-88.02
51.24,-88.42
51.28,-86.50
51.32,-86.85
51.36,-90.51
51.40,-91.03
51.44,-91.26
51.48,-89.66
51.52,-88.76
51.56,-89.44
51.60,-90.82
51.64,-89.64
51.68,-92.95
51.72,-87.53
51.76,-87.71
51.80,-91.29
51.84,-92.33
51.88,-90.79
51.92,-90.48
51.96,-91.99
52.00,-91.32
52.04,-89.65
52.08,-89.27
52.12,-90.40
52.16,-92.05
52.20,-83.50
52.24,-83.51
52.28,-90.60
52.32,-90.82
52.36,-88.77
52.40,-89.23
52.44,-89.15
52.48,-87.35
52.52,-87.30
52.56,-88.35
52.60,-89.73
52.64,-90.50
52.68,-84.62
52.72,-84.49
52.76,-85.23
52.80,-84.23
52.84,-88.67
52.88,-88.42
52.92,-89.26
52.96,-90.24
53.00,-89.65
53.04,-92.16
53.08,-90.48
53.12,-90.46
53.16,-86.20
53.20,-88.99
53.24,-88.78
53.28,-88.18
53.32,-89.75
53.36,-89.09
53.40,-89.37
53.44,-90.46
53.48,-92.24
53.52,-90.77
53.56,-90.38
53.60,-90.41
53.64,-90.71
53.68,-89.12
53.72,-85.93
53.76,-80.05
53.80,-84.20
53.84,-88.93
53.88,-87.91
53.92,-90.06
53.96,-89.58
54.00,-90.70
54.04,-90.46
54.08,-88.83
54.12,-88.86
54.16,-90.36
54.20,-87.48
54.24,-87.63
54.28,-88.42
54.32,-88.16
54.36,-88.11
54.40,-88.51
54.44,-91.48
54.48,-88.81
54.52,-88.82
54.56,-90.98
54.60,-89.63
54.64,-89.93
54.68,-88.91
54.72,-90.52
54.76,-91.05
54.80,-91.38
54.84,-90.90
54.88,-90.91
54.92,-94.59
54.96,-94.01
55.00,-92.58
55.04,-93.16
55.08,-93.49
55.12,-89.30
55.16,-89.35
55.20,-91.90
55.24,-93.48
55.28,-84.05
55.32,-84.25
55.36,-91.30
55.40,-91.76
55.44,-91.16
55.48,-94.68
55.52,-90.70
55.56,-91.06
55.60,-92.38
55.64,-94.85
55.68,-92.15
55.72,-91.97
55.76,-89.85
55.80,-89.82
55.84,-92.99
55.88,-92.85
55.92,-93.16
55.96,-93.71
56.00,-91.98
56.04,-93.81
56.08,-93.28
56.12,-92.54
56.16,-91.14
56.20,-91.72
56.24,-94.40
56.28,-93.42
56.32,-95.19
56.36,-93.97
56.40,-93.94
56.44,-91.45
56.48,-91.40
56.52,-91.96
56.56,-89.78
56.60,-91.98
56.64,-90.70
56.68,-91.99
56.72,-90.55
56.76,-91.02
56.80,-82.40
56.84,-79.61
56.88,-87.88
56.92,-88.74
56.96,-90.05
57.00,-90.53
57.04,-91.76
57.08,-93.45
57.12,-92.81
57.16,-92.26
57.20,-91.62
57.24,-90.78
57.28,-90.80
57.32,-93.23
57.36,-91.83
57.40,-90.86
57.44,-89.29
57.48,-91.30
57.52,-93.34
57.56,-92.97
57.60,-95.20
57.64,-92.21
57.68,-93.43
57.72,-94.80
57.76,-91.60
57.80,-91.31
57.84,-89.10
57.88,-89.15
57.92,-92.01
57.96,-91.71
58.00,-92.52
58.04,-94.15
58.08,-90.72
58.12,-92.19
58.16,-90.77
58.20,-91.31
58.24,-92.97
58.28,-90.74
58.32,-90.98
58.36,-82.37
58.40,-83.23
58.44,-88.60
58.48,-87.72
58.52,-91.17
58.56,-89.11
58.60,-90.93
58.64,-87.98
58.68,-88.89
58.72,-91.53
58.76,-90.42
58.80,-91.00
58.84,-90.09
58.88,-90.70
58.92,-90.35
58.96,-93.36
59.00,-92.92
59.04,-93.05
59.08,-92.11
59.12,-89.86
59.16,-89.86
59.20,-90.61
59.24,-89.83
59.28,-91.66
59.32,-91.88
59.36,-92.98
59.40,-89.03
59.44,-88.75
59.48,-90.13
59.52,-89.33
59.56,-89.79
59.60,-88.36
59.64,-88.84
59.68,-89.91
59.72,-88.75
59.76,-91.10
59.80,-89.08
59.84,-89.43
59.88,-80.42
59.92,-80.24
59.96,-90.25
60.00,-85.32
60.04,-88.01
60.08,-91.31
60.12,-92.89
60.16,-89.38
60.20,-90.31
60.24,-91.22
60.28,-92.00
60.32,-93.37
60.36,-89.64
60.40,-89.64
60.44,-87.91
60.48,-88.04
60.52,-89.81
60.56,-90.07
60.60,-92.33
60.64,-89.42
60.68,-91.37
60.72,-89.69
60.76,-89.72
60.80,-92.37
60.84,-89.67
60.88,-86.82
60.92,-86.93
60.96,-87.13
61.00,-86.90
61.04,-86.26
61.08,-89.18
61.12,-87.80
61.16,-89.60
61.20,-87.00
61.24,-87.11
61.28,-87.61
61.32,-86.10
61.36,-91.19
61.40,-83.91
61.44,-83.28
61.48,-86.36
61.52,-84.52
61.56,-88.95
61.60,-86.57
61.64,-87.62
61.68,-87.57
61.72,-88.71
61.76,-86.77
61.80,-86.32
61.84,-89.33
61.88,-86.36
61.92,-90.25
61.96,-85.66
62.00,-85.78
62.04,-87.78
62.08,-87.04
62.12,-88.69
62.16,-86.99
62.20,-90.14
62.24,-84.99
62.28,-85.10
62.32,-86.24
62.36,-84.37
62.40,-89.56
62.44,-86.15
62.48,-87.45
62.52,-86.03
62.56,-85.97
62.60,-91.12
62.64,-87.05
62.68,-90.42
62.72,-87.38
62.76,-87.88
62.80,-87.81
62.84,-85.97
62.88,-86.83
62.92,-86.45
62.96,-82.93
63.00,-82.92
63.04,-89.03
63.08,-89.85
63.12,-87.19
63.16,-89.97
63.20,-86.94
63.24,-90.06
63.28,-89.26
63.32,-88.93
63.36,-92.41
63.40,-90.68
63.44,-90.98
63.48,-87.16
63.52,-87.18
63.56,-90.63
63.60,-90.14
63.64,-94.43
63.68,-87.38
63.72,-88.85
63.76,-90.88
63.80,-91.65
63.84,-90.79
63.88,-90.92
63.92,-93.34
63.96,-90.61
64.00,-90.89
64.04,-91.19
64.08,-93.39
64.12,-90.82
64.16,-90.74
64.20,-91.06
64.24,-91.13
64.28,-92.33
64.32,-91.79
64.36,-92.08
64.40,-90.70
64.44,-90.18
64.48,-88.66
64.52,-86.94
64.56,-89.95
64.60,-90.58
64.64,-90.85
64.68,-91.64
64.72,-90.26
64.76,-89.46
64.80,-90.92
64.84,-92.79
64.88,-91.37
64.92,-91.30
64.96,-93.17
65.00,-91.55
65.04,-91.66
65.08,-92.62
65.12,-94.70
65.16,-91.59
65.20,-90.85
65.24,-91.55
65.28,-91.89
65.32,-91.76
65.36,-92.50
65.40,-91.24
65.44,-88.98
65.48,-86.81
65.52,-89.72
65.56,-89.55
65.60,-89.59
65.64,-90.37
65.68,-89.83
65.72,-92.31
65.76,-88.81
65.80,-90.84
65.84,-89.85
65.88,-89.68
65.92,-90.99
65.96,-89.05
66.00,-89.42
66.04,-84.01
66.08,-86.00
66.12,-92.21
66.16,-91.01
66.20,-91.09
66.24,-87.73
66.28,-90.63
66.32,-89.69
66.36,-90.16
66.40,-89.92
66.44,-90.90
66.48,-92.89
66.52,-88.37
66.56,-91.62
66.60,-91.02
66.64,-89.61
66.68,-90.92
66.72,-88.08
66.76,-91.99
66.80,-91.77
66.84,-92.28
66.88,-89.56
66.92,-88.91
66.96,-92.89
67.00,-89.68
67.04,-91.50
67.08,-89.55
67.12,-89.28
67.16,-87.98
67.20,-87.52
67.24,-91.12
67.28,-90.34
67.32,-90.78
67.36,-89.11
67.40,-90.03
67.44,-89.80
67.48,-90.04
67.52,-91.91
67.56,-87.76
67.60,-88.21
67.64,-89.51
67.68,-88.84
67.72,-94.99
67.76,-88.31
67.80,-88.95
67.84,-87.24
67.88,-87.59
67.92,-89.70
67.96,-89.57
68.00,-93.43
68.04,-89.84
68.08,-91.86
68.12,-87.82
68.16,-87.78
68.20,-89.30
68.24,-87.98
68.28,-90.67
68.32,-88.64
68.36,-92.78
68.40,-88.93
68.40,-87.84
68.44,-88.45
68.48,-89.30
68.52,-88.54
68.56,-90.42
68.60,-88.42
68.64,-88.04
68.68,-87.74
68.72,-87.61
68.76,-92.10
68.80,-89.31
68.84,-90.88
68.88,-88.50
68.92,-89.05
68.96,-89.05
69.00,-88.57
69.04,-91.49
69.08,-88.14
69.12,-86.69
69.16,-89.55
69.20,-88.20
69.24,-91.11
69.28,-88.67
69.32,-90.66
69.36,-86.60
69.40,-87.73
69.44,-88.80
69.48,-88.74
69.52,-90.25
69.56,-87.12
69.60,-87.90
69.64,-87.83
69.68,-87.80
69.72,-89.29
69.76,-88.16
69.80,-89.17
69.84,-86.43
69.88,-91.77
69.92,-88.30
69.96,-88.42
70.00,-90.49
70.04,-88.04
70.08,-89.81
70.12,-87.08
70.16,-89.24
70.20,-89.10
70.24,-88.98
70.28,-93.18
70.32,-88.64
70.36,-92.09
70.40,-89.70
70.44,-89.91
70.48,-89.54
70.52,-87.98
70.56,-92.13
70.60,-89.70
70.64,-87.71
70.68,-87.32
70.72,-87.71
70.76,-90.61
70.80,-87.93
70.84,-91.40
70.88,-88.67
70.92,-92.35
70.96,-91.50
71.00,-91.15
71.04,-92.29
71.08,-89.75
71.12,-91.17
71.16,-90.69
71.20,-93.40
71.24,-89.35
71.28,-89.34
71.32,-88.96
71.36,-87.87
71.40,-93.18
71.44,-89.79
71.48,-89.80
71.52,-91.16
71.56,-88.80
71.60,-89.09
71.64,-89.05
71.68,-90.80
71.72,-89.61
71.76,-89.63
71.80,-91.19
71.84,-90.64
71.88,-90.70
71.92,-88.78
71.96,-90.49
72.00,-86.37
72.04,-86.41
72.08,-89.92
72.12,-89.92
72.16,-87.44
72.20,-84.03
72.24,-90.74
72.28,-90.49
72.32,-90.83
72.36,-92.25
72.40,-91.22
72.44,-93.35
72.48,-87.63
72.52,-88.41
72.56,-92.34
72.60,-90.93
72.64,-91.43
72.68,-89.51
72.72,-89.27
72.76,-89.93
72.80,-89.50
72.84,-89.02
72.88,-88.59
72.92,-86.58
72.96,-85.86
73.00,-89.59
73.04,-87.49
73.08,-88.91
73.12,-90.26
73.16,-90.13
73.20,-91.76
73.24,-90.84
73.28,-90.87
73.32,-89.15
73.36,-89.24
73.40,-90.80
73.44,-90.91
73.48,-92.00
73.52,-90.14
73.56,-90.71
73.60,-91.28
73.64,-92.48
73.68,-91.52
73.72,-83.45
73.76,-84.00
73.80,-91.62
73.84,-92.73
73.88,-93.86
73.92,-90.69
73.96,-93.62
74.00,-90.77
74.04,-90.69
74.08,-92.49
74.12,-92.16
74.16,-87.39
74.20,-76.94
74.24,-66.70
74.28,-69.18
74.32,-87.96
74.36,-87.84
74.40,-88.56
74.44,-91.99
74.48,-90.75
74.52,-93.66
74.56,-89.11
74.60,-89.11
74.64,-93.01
74.68,-93.68
74.72,-93.47
74.76,-91.30
74.80,-89.56
74.84,-89.38
74.88,-89.52
74.92,-93.27
74.96,-89.92
75.00,-89.94
75.04,-90.18
75.08,-90.27
75.12,-92.24
75.16,-88.23
75.20,-88.25
75.24,-80.10
75.28,-79.69
75.32,-90.18
75.36,-88.86
75.40,-88.98
75.44,-88.92
75.48,-88.40
75.52,-86.45
75.56,-87.14
75.60,-87.26
75.64,-86.71
75.68,-86.43
75.72,-85.48
75.76,-82.49
75.80,-84.33
75.84,-82.95
75.88,-83.41
75.92,-86.21
75.96,-85.41
76.00,-83.30
76.04,-83.54
76.08,-84.35
76.12,-87.50
76.16,-84.19
76.20,-84.15
76.24,-85.59
76.28,-88.68
76.32,-87.10
76.36,-85.68
76.40,-86.68
76.44,-86.90
76.48,-85.19
76.52,-84.91
76.56,-87.13
76.60,-86.98
76.64,-87.27
76.68,-85.78
76.72,-86.65
76.76,-85.23
76.80,-80.69
76.84,-85.48
76.88,-87.74
76.92,-83.56
76.96,-86.23
77.00,-87.09
77.04,-87.92
77.08,-86.81
77.12,-85.69
77.16,-85.48
77.20,-85.15
77.24,-84.78
77.28,-84.17
77.32,-84.17
77.36,-85.75
77.40,-84.24
77.44,-85.14
77.48,-86.11
77.52,-84.57
77.56,-84.77
77.60,-88.50
77.64,-87.94
77.68,-90.37
77.72,-88.85
77.76,-87.57
77.80,-87.79
77.84,-88.47
77.88,-86.15
77.92,-88.85
77.96,-90.38
78.00,-87.24
78.04,-87.23
78.08,-89.00
78.12,-89.95
78.16,-89.77
78.20,-90.74
78.24,-90.85
78.28,-91.25
78.32,-82.49
78.36,-82.88
78.40,-88.52
78.44,-88.98
78.48,-83.62
78.52,-83.64
78.56,-88.42
78.60,-87.36
78.64,-88.05
78.68,-86.91
78.72,-89.37
78.76,-89.95
78.80,-91.74
78.84,-90.30
78.88,-90.23
78.92,-89.48
78.96,-91.95
79.00,-89.59
79.04,-89.75
79.08,-92.86
79.12,-89.32
79.16,-90.63
79.20,-92.75
79.24,-92.50
79.28,-91.27
79.32,-91.12
79.36,-91.02
79.40,-93.49
79.44,-92.71
79.48,-88.94
79.52,-89.16
79.56,-94.42
79.60,-92.14
79.64,-94.79
79.68,-95.21
79.72,-94.06
79.76,-93.92
79.80,-93.18
79.84,-89.27
79.88,-85.89
79.92,-89.99
79.96,-90.54
80.00,-91.40
80.04,-93.56
80.08,-94.14
80.12,-91.83
80.16,-91.25
80.20,-94.24
80.24,-92.90
80.28,-93.49
80.32,-91.44
80.36,-91.08
80.40,-90.96
80.44,-90.95
80.48,-92.91
80.52,-92.07
80.56,-93.03
80.60,-95.58
80.64,-92.81
80.68,-91.56
80.72,-92.04
80.76,-94.02
80.80,-91.77
80.84,-90.50
80.88,-90.56
80.92,-89.12
80.96,-89.96
81.00,-92.17
81.04,-93.29
81.08,-93.06
81.12,-92.17
81.16,-93.32
81.20,-91.36
81.24,-91.45
81.28,-92.50
81.32,-93.11
81.36,-90.10
81.40,-85.09
81.44,-86.89
81.48,-88.34
81.52,-88.37
81.56,-94.41
81.60,-90.93
81.64,-92.69
81.68,-91.97
81.72,-91.81
81.76,-91.42
81.80,-91.45
81.84,-91.32
81.88,-92.53
81.92,-91.57
81.96,-91.43
82.00,-91.95
82.04,-88.61
82.08,-88.61
82.12,-90.59
82.16,-90.66
82.20,-91.67
82.24,-90.67
82.28,-90.95
82.32,-90.36
82.36,-90.91
82.40,-92.66
82.44,-92.00
82.48,-91.53
82.52,-94.37
82.56,-92.60
82.60,-91.21
82.64,-90.28
82.68,-90.67
82.72,-92.51
82.76,-92.70
82.80,-87.27
82.84,-87.23
82.88,-92.86
82.92,-90.13
82.96,-88.30
83.00,-91.50
83.04,-91.83
83.08,-92.62
83.12,-89.93
83.16,-92.17
83.20,-94.44
83.24,-93.48
83.28,-93.04
83.32,-91.68
83.36,-93.13
83.40,-93.84
83.44,-93.74
83.48,-93.75
83.52,-92.87
83.56,-90.76
83.60,-90.94
83.64,-91.51
83.68,-93.21
83.72,-92.01
83.76,-92.12
83.80,-93.79
83.84,-93.76
83.88,-90.27
83.92,-93.35
83.96,-87.97
84.00,-82.19
84.04,-86.17
84.08,-91.93
84.12,-92.03
84.16,-93.42
84.20,-93.70
84.24,-94.84
84.28,-93.24
84.32,-91.47
84.36,-92.90
84.40,-91.26
84.44,-89.29
84.48,-88.58
84.52,-91.32
84.56,-93.01
84.60,-93.00
84.64,-92.30
84.68,-89.16
84.72,-88.80
84.76,-90.29
84.80,-90.30
84.84,-89.77
84.88,-90.20
84.92,-92.87
84.96,-92.85
85.00,-90.35
85.04,-90.92
85.08,-89.71
85.12,-92.42
85.16,-93.87
85.20,-92.44
85.24,-92.62
85.28,-92.94
85.32,-90.91
85.36,-91.26
85.40,-90.03
85.44,-90.00
85.48,-91.07
85.52,-91.60
85.56,-89.28
85.60,-86.01
85.64,-78.50
85.68,-79.99
85.72,-90.74
85.76,-91.07
85.80,-93.45
85.84,-94.37
85.88,-93.69
85.92,-94.04
85.96,-92.12
86.00,-90.27
86.04,-89.00
86.08,-91.12
86.12,-87.88
86.16,-88.40
86.20,-90.63
86.24,-92.23
86.28,-90.79
86.32,-93.76
86.36,-91.86
86.40,-91.82
86.44,-92.55
86.48,-90.63
86.52,-91.28
86.56,-91.06
86.60,-89.87
86.64,-90.00
86.68,-89.84
86.72,-90.54
86.76,-90.58
86.80,-90.80
86.80,-92.33
86.84,-90.42
86.88,-87.22
86.92,-89.13
86.96,-87.58
87.00,-88.04
87.04,-86.92
87.08,-86.89
87.12,-85.41
87.16,-84.22
87.20,-87.45
87.24,-87.39
87.28,-90.07
87.32,-89.85
87.36,-89.51
87.40,-89.07
87.44,-90.32
87.48,-91.16
87.52,-84.82
87.56,-82.58
87.60,-85.00
87.64,-85.96
87.68,-88.55
87.72,-88.48
87.76,-88.47
87.80,-88.37
87.84,-88.54
87.88,-89.14
87.92,-85.75
87.96,-85.80
88.00,-87.74
88.04,-89.43
88.08,-87.98
88.12,-89.85
88.16,-85.95
88.20,-86.62
88.24,-88.67
88.28,-85.40
88.32,-85.37
88.36,-88.63
88.40,-87.43
88.44,-84.02
88.48,-82.88
88.52,-88.47
88.56,-88.48
88.60,-88.90
88.64,-87.43
88.68,-88.84
88.72,-86.07
88.76,-89.19
88.80,-88.12
88.84,-88.57
88.88,-89.53
88.92,-88.55
88.96,-87.81
89.00,-86.18
89.04,-86.87
89.08,-86.14
89.12,-86.50
89.16,-88.05
89.20,-87.99
89.24,-89.35
89.28,-91.40
89.32,-90.05
89.36,-90.68
89.40,-91.12
89.44,-87.05
89.48,-87.56
89.52,-87.77
89.56,-91.13
89.60,-90.78
89.64,-90.39
89.68,-88.25
89.72,-87.81
89.76,-84.94
89.80,-84.66
89.84,-89.46
89.88,-88.24
89.92,-89.44
89.96,-90.45
90.00,-90.63
90.04,-89.01
90.08,-89.28
90.12,-90.89
90.16,-90.89
90.20,-91.88
90.24,-91.12
90.28,-90.93
90.32,-89.36
90.36,-91.15
90.40,-91.83
90.44,-89.32
90.48,-89.25
90.52,-92.99
90.56,-92.55
90.60,-91.33
90.64,-88.30
90.68,-89.74
90.72,-89.94
90.76,-90.78
90.80,-92.51
90.84,-95.15
90.88,-90.99
90.92,-92.21
90.96,-93.23
91.00,-91.04
91.04,-84.24
91.08,-82.82
91.12,-84.62
91.16,-86.18
91.20,-90.83
91.24,-91.00
91.28,-82.87
91.32,-83.00
91.36,-92.43
91.40,-92.46
91.44,-90.06
91.48,-91.22
91.52,-90.93
91.56,-91.44
91.60,-88.54
91.64,-88.31
91.68,-90.36
91.72,-88.45
91.76,-87.64
91.80,-87.37
91.84,-91.02
91.88,-91.36
91.92,-90.79
91.96,-91.11
92.00,-92.11
92.04,-89.67
92.08,-88.96
92.12,-86.49
92.16,-83.40
92.20,-86.38
92.24,-91.37
92.28,-87.74
92.32,-87.72
92.36,-91.49
92.40,-86.12
92.44,-87.39
92.48,-89.34
92.52,-89.09
92.56,-91.32
92.60,-91.87
92.64,-90.18
92.68,-87.62
92.72,-87.54
92.76,-86.63
92.80,-86.48
92.84,-89.85
92.88,-88.13
92.92,-89.64
92.96,-89.03
93.00,-89.27
93.04,-89.18
93.08,-88.16
93.12,-88.10
93.16,-88.77
93.20,-88.51
93.24,-88.80
93.28,-88.29
93.32,-87.86
93.36,-86.59
93.40,-86.40
93.44,-88.20
93.48,-88.18
93.52,-89.67
93.56,-87.10
93.60,-88.27
93.64,-88.19
93.68,-85.52
93.72,-85.13
93.76,-88.29
93.80,-88.82
93.84,-87.29
93.88,-88.62
93.92,-88.50
93.96,-87.32
94.00,-87.60
94.04,-87.47
94.08,-83.90
94.12,-81.53
94.16,-86.30
94.20,-85.51
94.24,-84.98
94.28,-85.79
